Frame#,Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RASI_X,RASI_Y,RASI_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
11,0.0999079,-0.18486,1.42017,0.0504062,0.0285125,0.115586,0.130071,-0.225447,0.945814,0.192629,-0.361049,1.05908,0.292982,-0.527009,1.23034,0.0881171,0.108377,0.0989954,0.0805769,-0.226632,0.421597,0.186132,-0.0977556,0.967327,0.0502349,-0.259461,1.39203,0.224222,-0.12246,0.0621624,0.0607488,-0.441985,1.17074,0.108899,-0.502264,1.1323,0.115649,-0.144461,0.191471,-0.0912786,-0.253116,0.945548,-0.125128,-0.125402,1.14212,-0.271424,-0.388659,0.974452,-0.133063,-0.0624815,0.185532,-0.0269615,-0.429239,0.489719,-0.0964191,-0.103224,0.960386,-0.0142295,-0.251147,1.41449,-0.126604,-0.263159,0.0706614,-0.0583736,-0.288685,1.03269,-0.141344,-0.291898,0.972459,-0.181772,-0.378606,1.17392,0.0391361
12,0.109899,-0.186232,1.42813,0.0513063,0.0436819,0.121256,0.131144,-0.228548,0.952597,0.19192,-0.371312,1.07196,0.291895,-0.528079,1.246,0.0822221,0.124288,0.107224,0.0816032,-0.21127,0.428453,0.183234,-0.100567,0.976264,0.0514074,-0.264455,1.40223,0.222324,-0.102565,0.062253,0.060776,-0.44521,1.18434,0.105056,-0.506681,1.14748,0.110827,-0.169115,0.181338,-0.0917122,-0.252744,0.955177,-0.125126,-0.115919,1.15417,-0.270957,-0.382325,0.984447,-0.141024,-0.0871928,0.169871,-0.0274199,-0.431708,0.500653,-0.0976223,-0.104416,0.969265,-0.0129635,-0.247954,1.42293,-0.127033,-0.296722,0.070655,-0.0568268,-0.282122,1.04305,-0.146282,-0.284157,0.983483,-0.187253,-0.379662,1.18316,0.0347428
13,0.11989,-0.18762,1.43605,0.0519004,0.0578836,0.127548,0.132177,-0.232067,0.959655,0.191073,-0.38053,1.08481,0.290705,-0.528973,1.26059,0.0765377,0.139063,0.116332,0.0825489,-0.196682,0.436052,0.180323,-0.103574,0.985386,0.052497,-0.269297,1.4125,0.220146,-0.0826536,0.0624091,0.0608035,-0.447971,1.19732,0.101285,-0.510363,1.16175,0.106048,-0.194412,0.171597,-0.0921349,-0.252382,0.964896,-0.125049,-0.107177,1.16594,-0.270165,-0.376259,0.994234,-0.148462,-0.113075,0.154684,-0.028082,-0.432828,0.510827,-0.0991359,-0.106039,0.978437,-0.0117019,-0.245084,1.43114,-0.127488,-0.330544,0.0719313,-0.0551188,-0.27611,1.05331,-0.150843,-0.27682,0.994107,-0.192339,-0.381275,1.19289,0.0306978
14,0.12988,-0.188887,1.44379,0.0520255,0.0709105,0.134274,0.133116,-0.235817,0.966874,0.1901,-0.388799,1.09739,0.289486,-0.529586,1.27387,0.071005,0.152697,0.1263,0.0833825,-0.183145,0.444217,0.177624,-0.106662,0.994779,0.0535142,-0.27402,1.42269,0.217703,-0.0626214,0.0622141,0.0608329,-0.450327,1.20955,0.0976114,-0.513409,1.17494,0.10135,-0.220427,0.162028,-0.092541,-0.252283,0.974315,-0.12492,-0.0991559,1.17728,-0.269058,-0.370478,1.00364,-0.155375,-0.140169,0.139917,-0.0290152,-0.432733,0.519936,-0.100756,-0.107846,0.987839,-0.0105185,-0.242687,1.43903,-0.127994,-0.364145,0.0746062,-0.05339,-0.270498,1.06319,-0.155011,-0.269905,1.00416,-0.19685,-0.383047,1.20289,0.027267
15,0.139871,-0.190086,1.45117,0.0517036,0.0827379,0.141226,0.133881,-0.239672,0.974162,0.188951,-0.396243,1.10946,0.288278,-0.529985,1.28581,0.0656135,0.164933,0.136879,0.0839895,-0.170711,0.452615,0.175139,-0.110012,1.00428,0.0544499,-0.27846,1.43262,0.214905,-0.0428301,0.0618407,0.0610028,-0.45231,1.22089,0.0940097,-0.515899,1.18697,0.0967842,-0.247109,0.153127,-0.0932605,-0.252551,0.983193,-0.124685,-0.0917481,1.18807,-0.267728,-0.365034,1.01251,-0.161735,-0.168324,0.125521,-0.030288,-0.431622,0.527727,-0.102375,-0.109835,0.997194,-0.00949576,-0.240676,1.4465,-0.128512,-0.397049,0.0788131,-0.0512573,-0.265277,1.07247,-0.158747,-0.263415,1.01362,-0.200845,-0.385032,1.21283,0.0243567
16,0.149862,-0.191283,1.45804,0.0510555,0.0936561,0.148417,0.134324,-0.243494,0.981153,0.187735,-0.402832,1.12084,0.287008,-0.530354,1.29649,0.0603247,0.175875,0.148217,0.0843672,-0.159397,0.460884,0.172602,-0.113813,1.01361,0.0551639,-0.282707,1.44208,0.211826,-0.0236069,0.0615525,0.06123,-0.453993,1.23119,0.0905163,-0.517929,1.19775,0.0923748,-0.274067,0.145276,-0.0941513,-0.253146,0.991416,-0.124351,-0.0849292,1.1982,-0.266264,-0.359993,1.02074,-0.167574,-0.196673,0.112191,-0.032027,-0.429667,0.53407,-0.103874,-0.112326,1.00612,-0.00873045,-0.239001,1.45342,-0.12904,-0.428829,0.0846756,-0.0488074,-0.260462,1.08104,-0.162064,-0.257429,1.02236,-0.20426,-0.387302,1.22239,0.021727
17,0.159853,-0.192494,1.46426,0.0502246,0.10391,0.155999,0.134367,-0.247155,0.987626,0.186399,-0.408615,1.13137,0.285697,-0.530699,1.30582,0.0551135,0.185651,0.1603,0.0844037,-0.149182,0.468817,0.169882,-0.118072,1.02252,0.0553574,-0.286886,1.45088,0.208527,-0.00533576,0.0615784,0.061462,-0.455442,1.24032,0.0870601,-0.519612,1.20723,0.088158,-0.300891,0.138717,-0.0950783,-0.253919,0.998964,-0.123937,-0.078811,1.20745,-0.264631,-0.355441,1.02824,-0.172964,-0.225033,0.100014,-0.0343447,-0.427006,0.538946,-0.105183,-0.115385,1.01447,-0.00811944,-0.237714,1.45966,-0.129562,-0.459038,0.092097,-0.0460794,-0.256083,1.08892,-0.164938,-0.252015,1.03024,-0.207144,-0.389803,1.23132,0.0191667
18,0.169843,-0.193707,1.46979,0.049264,0.113435,0.163856,0.134241,-0.250804,0.993457,0.185091,-0.413672,1.14093,0.284401,-0.53088,1.31364,0.0499419,0.194522,0.172984,0.0839925,-0.14011,0.476293,0.16702,-0.122511,1.03078,0.0550663,-0.290987,1.45894,0.205062,0.0119102,0.062013,0.061617,-0.456691,1.24815,0.0836489,-0.521019,1.21532,0.0841567,-0.32722,0.133492,-0.0962375,-0.255112,1.00566,-0.123345,-0.0734179,1.21565,-0.262897,-0.351434,1.03491,-0.177792,-0.253294,0.0890106,-0.037155,-0.42371,0.542376,-0.106274,-0.118892,1.02217,-0.00763309,-0.236785,1.46509,-0.130065,-0.487255,0.100811,-0.0432457,-0.252217,1.09603,-0.167406,-0.247219,1.03725,-0.209642,-0.392471,1.23947,0.0165708
19,0.179834,-0.194868,1.47457,0.0482156,0.122343,0.171925,0.134004,-0.254528,0.998513,0.183801,-0.418055,1.14942,0.283133,-0.531013,1.3199,0.0448373,0.202434,0.185913,0.083549,-0.132343,0.483152,0.164059,-0.126839,1.038,0.0544769,-0.29492,1.46622,0.201498,0.0279751,0.0629747,0.0615968,-0.457763,1.25462,0.0803451,-0.522178,1.22194,0.0803444,-0.352658,0.129495,-0.0980435,-0.256985,1.011,-0.122723,-0.0687363,1.22262,-0.261208,-0.348042,1.04069,-0.182043,-0.280987,0.0794796,-0.0403236,-0.419873,0.544451,-0.107167,-0.122255,1.02898,-0.00745082,-0.236217,1.46964,-0.130595,-0.513068,0.110358,-0.0404292,-0.24906,1.102,-0.169681,-0.243129,1.04323,-0.211946,-0.395033,1.24668,0.013878
20,0.189825,-0.195918,1.47854,0.0471409,0.13089,0.180129,0.133566,-0.258297,1.00274,0.182498,-0.42178,1.15676,0.2819,-0.531176,1.32455,0.0398508,0.209576,0.198781,0.0827756,-0.126205,0.489121,0.161066,-0.130732,1.04384,0.0537441,-0.298661,1.47269,0.197884,0.0430425,0.0645351,0.0613121,-0.458776,1.25971,0.0771842,-0.523134,1.22701,0.076717,-0.376514,0.126782,-0.0996291,-0.25917,1.01499,-0.122281,-0.0645962,1.22833,-0.259849,-0.34536,1.04552,-0.18575,-0.30703,0.0719526,-0.0434706,-0.4157,0.545262,-0.107862,-0.125367,1.03474,-0.00748414,-0.235999,1.47327,-0.131255,-0.536047,0.120166,-0.0375605,-0.246615,1.10673,-0.171798,-0.239879,1.0481,-0.213987,-0.397262,1.25277,0.0110791
21,0.199816,-0.196831,1.48162,0.0460424,0.139488,0.188554,0.132769,-0.261994,1.0061,0.1812,-0.424894,1.1628,0.280696,-0.531373,1.3275,0.0350311,0.216257,0.2115,0.081612,-0.121988,0.493867,0.158173,-0.134023,1.04826,0.0531385,-0.302219,1.47829,0.194276,0.0570973,0.0666129,0.0607154,-0.459734,1.26334,0.0741588,-0.523899,1.23042,0.0732737,-0.398237,0.12542,-0.100879,-0.260911,1.01797,-0.12233,-0.0611714,1.23247,-0.258804,-0.343518,1.0494,-0.188891,-0.330765,0.0663951,-0.0462415,-0.411564,0.544932,-0.108309,-0.12832,1.03939,-0.00766178,-0.235975,1.47587,-0.132119,-0.555977,0.129523,-0.0349805,-0.244746,1.11024,-0.173728,-0.237558,1.05178,-0.215759,-0.399072,1.25752,0.00826738
22,0.209807,-0.197594,1.48379,0.0449049,0.148109,0.197103,0.131723,-0.265511,1.00848,0.179894,-0.427415,1.16737,0.279562,-0.531525,1.32855,0.030409,0.222812,0.22399,0.0802535,-0.119777,0.497046,0.155446,-0.136836,1.05158,0.0529128,-0.305578,1.48288,0.190718,0.0699873,0.0689883,0.0601079,-0.460174,1.26497,0.0709395,-0.52446,1.23209,0.0700442,-0.417164,0.124996,-0.101939,-0.262611,1.01971,-0.122747,-0.0584978,1.23486,-0.258126,-0.342614,1.05231,-0.191498,-0.351641,0.0625329,-0.0484495,-0.407848,0.543617,-0.108512,-0.131338,1.04302,-0.00810856,-0.236037,1.47736,-0.133298,-0.572765,0.138117,-0.032853,-0.243622,1.11268,-0.175417,-0.23625,1.05424,-0.217281,-0.400363,1.26074,0.00549143
23,0.219797,-0.19815,1.48503,0.0436805,0.156555,0.205699,0.130477,-0.268694,1.00977,0.178705,-0.429335,1.17035,0.2785,-0.531683,1.32766,0.0260226,0.229248,0.236175,0.0787078,-0.119569,0.498346,0.152955,-0.139314,1.0539,0.0529346,-0.308702,1.48634,0.187217,0.0817524,0.0711771,0.0597356,-0.460482,1.26488,0.0679222,-0.524783,1.23188,0.067054,-0.432426,0.125049,-0.102539,-0.264334,1.02016,-0.123434,-0.0565755,1.2354,-0.257911,-0.342667,1.05426,-0.193659,-0.369051,0.0598985,-0.0499649,-0.404888,0.541508,-0.108464,-0.134542,1.04578,-0.00894353,-0.236062,1.47763,-0.134868,-0.586298,0.145805,-0.0312505,-0.243406,1.11405,-0.176905,-0.235979,1.05541,-0.218556,-0.401193,1.26235,0.00284257
24,0.229788,-0.198484,1.48533,0.0423167,0.164562,0.214209,0.128988,-0.271448,1.00999,0.177524,-0.430576,1.17173,0.277526,-0.531894,1.32477,0.0219312,0.235237,0.24797,0.0768714,-0.1212,0.497599,0.150818,-0.141409,1.05498,0.0528802,-0.311518,1.48855,0.183822,0.0926964,0.0726633,0.0595385,-0.460871,1.26319,0.0653271,-0.524802,1.2297,0.064323,-0.444036,0.125474,-0.102963,-0.265815,1.01937,-0.124337,-0.0554371,1.23406,-0.25816,-0.343701,1.05525,-0.195441,-0.382359,0.0579198,-0.0505628,-0.402992,0.538859,-0.10832,-0.137285,1.04767,-0.00962652,-0.235985,1.47664,-0.136868,-0.596254,0.151993,-0.0302657,-0.244219,1.11432,-0.178218,-0.236761,1.05529,-0.219573,-0.401633,1.26235,0.000321763
25,0.239779,-0.198635,1.48467,0.0407627,0.171758,0.222458,0.127284,-0.273806,1.00915,0.17634,-0.431038,1.17153,0.276654,-0.532183,1.31984,0.0181686,0.240241,0.259355,0.0747203,-0.124388,0.495064,0.149025,-0.142892,1.05457,0.0527601,-0.313812,1.48932,0.180689,0.103486,0.0732223,0.0592898,-0.461367,1.25994,0.0633653,-0.524501,1.22549,0.0618702,-0.451408,0.125103,-0.102899,-0.266955,1.01739,-0.125422,-0.0551522,1.23087,-0.25886,-0.345786,1.05529,-0.196898,-0.391194,0.0559642,-0.0501653,-0.402399,0.535958,-0.10834,-0.13951,1.04819,-0.0101347,-0.23576,1.47435,-0.139278,-0.602517,0.155973,-0.029818,-0.245854,1.11338,-0.179333,-0.238636,1.05392,-0.220357,-0.40178,1.26084,-0.00200474
26,0.24977,-0.198677,1.48301,0.0389204,0.177664,0.230188,0.12544,-0.275813,1.00719,0.175202,-0.430598,1.16985,0.275908,-0.532526,1.31281,0.0147421,0.243542,0.270415,0.0723577,-0.129094,0.49095,0.147607,-0.14383,1.05257,0.0526362,-0.315364,1.48843,0.177973,0.114923,0.0736129,0.0586946,-0.461623,1.25514,0.0618085,-0.523813,1.21923,0.0597585,-0.454589,0.123269,-0.102534,-0.267783,1.01419,-0.126697,-0.0558275,1.22591,-0.259915,-0.348885,1.05441,-0.198104,-0.39544,0.0534301,-0.0489878,-0.403061,0.533112,-0.108686,-0.141031,1.04674,-0.010558,-0.23544,1.47086,-0.142019,-0.605265,0.157044,-0.0299856,-0.248215,1.11112,-0.18029,-0.24159,1.05134,-0.22085,-0.40167,1.25804,-0.00415404
27,0.259761,-0.198713,1.48035,0.0367681,0.182068,0.23729,0.123443,-0.277448,1.00419,0.174263,-0.429171,1.16679,0.275337,-0.532759,1.3037,0.0116947,0.244633,0.281173,0.0698773,-0.13512,0.485482,0.146699,-0.144493,1.04899,0.0523962,-0.316187,1.48581,0.175769,0.127137,0.0754251,0.0577266,-0.461326,1.24809,0.059843,-0.522719,1.21098,0.0580411,-0.454027,0.119815,-0.102096,-0.26822,1.00985,-0.128141,-0.0575224,1.21931,-0.261263,-0.352997,1.05266,-0.199083,-0.395243,0.0501486,-0.0473578,-0.404587,0.530355,-0.10915,-0.141701,1.04291,-0.0110952,-0.235101,1.46625,-0.144957,-0.604848,0.154972,-0.0308612,-0.251419,1.10775,-0.181013,-0.245656,1.04764,-0.220977,-0.401329,1.25415,-0.00615986
28,0.269751,-0.198747,1.47669,0.034347,0.185214,0.244148,0.121222,-0.278657,1.00023,0.173312,-0.426729,1.16247,0.274981,-0.532978,1.29248,0.0089936,0.243923,0.291585,0.0671762,-0.142232,0.47892,0.146245,-0.144983,1.0438,0.0519771,-0.31658,1.48162,0.174001,0.138594,0.0791635,0.0565832,-0.461019,1.23927,0.0581052,-0.521236,1.20083,0.0568238,-0.450134,0.114968,-0.101619,-0.268228,1.00452,-0.129702,-0.0602442,1.21121,-0.262875,-0.358128,1.05019,-0.1998,-0.390612,0.0470804,-0.0456947,-0.406487,0.527266,-0.109492,-0.141738,1.03702,-0.0117776,-0.234891,1.46069,-0.147945,-0.601287,0.149991,-0.0319805,-0.255571,1.10346,-0.181502,-0.25077,1.04283,-0.220804,-0.400809,1.24935,-0.00797266
29,0.279742,-0.198821,1.47206,0.0316847,0.187242,0.251265,0.119083,-0.27966,0.995273,0.172427,-0.423272,1.15697,0.274853,-0.533138,1.27919,0.0066782,0.241934,0.301511,0.0641275,-0.150295,0.47143,0.14624,-0.145278,1.03713,0.0514637,-0.316613,1.47597,0.172517,0.147901,0.0838856,0.0559531,-0.459999,1.22836,0.056452,-0.519357,1.18881,0.0562058,-0.443009,0.109408,-0.100975,-0.267922,0.998384,-0.131237,-0.063999,1.20172,-0.264716,-0.364242,1.04715,-0.200134,-0.381461,0.0464026,-0.0441746,-0.408169,0.523367,-0.109983,-0.14148,1.02973,-0.012354,-0.234926,1.45433,-0.150896,-0.594559,0.141601,-0.0324793,-0.260767,1.09845,-0.181796,-0.256985,1.03718,-0.220271,-0.400173,1.24378,-0.00949608
30,0.289733,-0.198904,1.46645,0.0288259,0.187998,0.25841,0.116758,-0.280573,0.989312,0.171639,-0.41884,1.15042,0.274983,-0.533138,1.26386,0.00483064,0.238917,0.310704,0.0605745,-0.159233,0.463141,0.146718,-0.14534,1.02918,0.0509956,-0.31647,1.46921,0.171056,0.154518,0.0889874,0.0557577,-0.458161,1.21552,0.0549124,-0.51703,1.17504,0.0562854,-0.432455,0.103383,-0.100293,-0.267587,0.991859,-0.132532,-0.0687604,1.19091,-0.266706,-0.371333,1.04382,-0.199905,-0.368549,0.0478863,-0.0425898,-0.408806,0.51841,-0.111068,-0.141174,1.02137,-0.0127336,-0.235262,1.44725,-0.153779,-0.585368,0.128634,-0.0323124,-0.266977,1.09301,-0.181866,-0.264333,1.03108,-0.219353,-0.399535,1.2375,-0.0106596
31,0.299724,-0.19893,1.45984,0.025835,0.187213,0.265406,0.114215,-0.281412,0.982335,0.170952,-0.413433,1.14295,0.275365,-0.532935,1.24664,0.00357428,0.234859,0.318911,0.0565185,-0.168944,0.454141,0.147621,-0.145169,1.01998,0.0505835,-0.316092,1.46176,0.169445,0.15867,0.0942187,0.0558938,-0.454766,1.20053,0.0532594,-0.514224,1.15962,0.0571647,-0.420038,0.0974497,-0.0998694,-0.266788,0.985166,-0.133725,-0.0744548,1.17888,-0.268849,-0.379402,1.04055,-0.198993,-0.353957,0.0499285,-0.0412029,-0.408027,0.512339,-0.112742,-0.140752,1.01215,-0.0129106,-0.23594,1.43938,-0.15663,-0.575209,0.111788,-0.0325889,-0.273904,1.08731,-0.18153,-0.272832,1.0248,-0.21811,-0.398954,1.23029,-0.011726
