Frame#,Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
11,0.0999063,-0.208663,1.40741,-0.0264715,-0.536944,0.0888707,0.125246,-0.325183,0.953743,0.152269,-0.13639,1.06065,0.267228,-0.0395893,0.742561,0.309522,-0.467946,0.0592723,0.074646,-0.531874,0.484882,0.137655,-0.179516,0.952258,0.0379185,-0.23232,1.38157,0.157725,-0.705302,0.0734001,0.0556694,-0.0974639,0.812459,0.257249,-0.0380732,0.840226,0.28996,0.124132,0.174241,-0.125089,-0.417272,1.0663,-0.258557,-0.664506,0.842703,-0.173742,0.208974,0.195386,-0.0622024,-0.188337,0.454251,-0.15781,-0.184041,0.950276,-0.0264013,-0.320625,1.39646,-0.175744,0.0550771,0.0575432,-0.0571727,-0.582132,0.914153,-0.142253,-0.572767,0.868741,-0.199361,-0.413875,1.17929,0.0280725
12,0.109897,-0.209743,1.408,-0.0246655,-0.525834,0.0890259,0.124502,-0.328072,0.955022,0.153838,-0.141857,1.05938,0.268012,-0.0516154,0.739594,0.310605,-0.455892,0.0596391,0.0745086,-0.533911,0.485121,0.138815,-0.182116,0.953381,0.0397721,-0.234225,1.3821,0.159667,-0.693944,0.0702302,0.0550385,-0.108089,0.810288,0.257884,-0.0477041,0.83678,0.289761,0.122299,0.182123,-0.124833,-0.41447,1.0657,-0.256574,-0.654981,0.832667,-0.17605,0.204474,0.210309,-0.0615694,-0.198921,0.45161,-0.160066,-0.186294,0.950564,-0.0246588,-0.321426,1.39732,-0.17439,0.0623818,0.0601115,-0.057065,-0.575686,0.907013,-0.143185,-0.564221,0.862507,-0.200966,-0.416637,1.18068,0.0296381
13,0.119888,-0.210599,1.40881,-0.022944,-0.514084,0.089251,0.123689,-0.330093,0.956263,0.155716,-0.147882,1.05817,0.268827,-0.0645265,0.736722,0.311477,-0.443404,0.0599523,0.0744339,-0.534179,0.485057,0.139994,-0.184043,0.954373,0.0410888,-0.23617,1.38287,0.161626,-0.682041,0.0684896,0.0546636,-0.119615,0.808282,0.258404,-0.058129,0.833378,0.289513,0.119408,0.190707,-0.124479,-0.41147,1.06517,-0.254665,-0.644561,0.822592,-0.178746,0.198049,0.225825,-0.0608241,-0.210195,0.448817,-0.161666,-0.187719,0.950802,-0.0231594,-0.322043,1.3982,-0.173106,0.0680582,0.0635676,-0.0570885,-0.568472,0.899674,-0.144379,-0.555027,0.856361,-0.202838,-0.419167,1.18202,0.0308917
14,0.129878,-0.211232,1.40982,-0.0212645,-0.501995,0.0894442,0.123051,-0.33133,0.957444,0.157805,-0.154424,1.05701,0.26971,-0.0782935,0.733982,0.312152,-0.430769,0.0601387,0.0744393,-0.533076,0.484522,0.140985,-0.185528,0.955072,0.0420369,-0.238109,1.38384,0.163599,-0.669932,0.0673747,0.0544932,-0.131832,0.806477,0.258739,-0.0693894,0.83005,0.289238,0.11513,0.199923,-0.124008,-0.408213,1.06467,-0.25286,-0.633177,0.812593,-0.181784,0.189502,0.241551,-0.0599307,-0.222094,0.446035,-0.162649,-0.188119,0.951023,-0.0217608,-0.322358,1.39912,-0.171907,0.0719793,0.0675885,-0.0572059,-0.560544,0.8922,-0.145883,-0.545207,0.850405,-0.205006,-0.421383,1.18334,0.0318118
15,0.139869,-0.211626,1.41104,-0.0195961,-0.48977,0.0895425,0.122678,-0.332037,0.958763,0.160017,-0.161446,1.05597,0.27065,-0.0929145,0.73147,0.312761,-0.418263,0.0600855,0.0744451,-0.5309,0.483619,0.141674,-0.186587,0.955516,0.0427829,-0.24004,1.38505,0.165594,-0.657745,0.0664519,0.0543596,-0.144625,0.804898,0.258833,-0.0814722,0.826846,0.288969,0.109144,0.209324,-0.123336,-0.404605,1.06422,-0.251062,-0.620862,0.802715,-0.185028,0.178822,0.256995,-0.0588599,-0.234553,0.443565,-0.163505,-0.188302,0.950851,-0.020892,-0.322359,1.40013,-0.170868,0.0738133,0.0718595,-0.0574758,-0.552006,0.884769,-0.147662,-0.534765,0.844731,-0.207439,-0.423214,1.18474,0.0324434
16,0.149859,-0.211795,1.41254,-0.0178796,-0.477345,0.089613,0.122441,-0.332354,0.960388,0.162103,-0.168919,1.05511,0.271592,-0.108496,0.72917,0.313235,-0.405916,0.0599283,0.0742458,-0.527442,0.482527,0.142204,-0.186978,0.955811,0.0433413,-0.24193,1.38657,0.167605,-0.6453,0.0658496,0.0543099,-0.158219,0.80365,0.258732,-0.0943534,0.823816,0.288771,0.101648,0.218538,-0.122368,-0.400702,1.06389,-0.249285,-0.60772,0.793053,-0.188586,0.165966,0.271602,-0.0574992,-0.247569,0.441695,-0.16418,-0.188058,0.950435,-0.0203966,-0.321968,1.40125,-0.169939,0.0728119,0.0750768,-0.0577718,-0.542848,0.877517,-0.149719,-0.523682,0.839366,-0.210028,-0.424624,1.18631,0.0328927
17,0.15985,-0.211794,1.41434,-0.0161051,-0.464725,0.0896805,0.122226,-0.332388,0.962389,0.163902,-0.176801,1.05451,0.272495,-0.125207,0.727081,0.313453,-0.393136,0.0599655,0.0742296,-0.522382,0.481395,0.142803,-0.186552,0.956191,0.0436916,-0.243733,1.38842,0.169584,-0.632661,0.0654376,0.0543007,-0.172597,0.802831,0.258458,-0.10803,0.821038,0.288696,0.0929491,0.227132,-0.121101,-0.396507,1.06374,-0.247537,-0.593726,0.783895,-0.192544,0.150599,0.28469,-0.0558945,-0.261034,0.440703,-0.164637,-0.188089,0.950058,-0.0201199,-0.321159,1.40257,-0.169152,0.0697165,0.0751694,-0.0588188,-0.533041,0.870586,-0.152082,-0.511988,0.83456,-0.212848,-0.425609,1.18814,0.0332008
18,0.169841,-0.211676,1.4164,-0.0142927,-0.451903,0.0897315,0.122015,-0.332278,0.964724,0.165379,-0.185111,1.05419,0.273431,-0.142708,0.725487,0.313348,-0.379908,0.060215,0.0743811,-0.515912,0.480301,0.1435,-0.186461,0.956626,0.0440388,-0.245471,1.39064,0.171496,-0.619832,0.0651476,0.0542767,-0.18761,0.802543,0.257993,-0.122512,0.818561,0.288758,0.0830146,0.234875,-0.11962,-0.391962,1.06385,-0.245756,-0.578885,0.775381,-0.196927,0.132784,0.295511,-0.0541577,-0.274769,0.440515,-0.164807,-0.187734,0.950117,-0.0198533,-0.319989,1.40411,-0.168509,0.0664215,0.0736936,-0.0606833,-0.522594,0.864086,-0.154753,-0.499738,0.830412,-0.215933,-0.426184,1.19024,0.0333803
19,0.179831,-0.211499,1.41867,-0.012491,-0.438938,0.0897265,0.12184,-0.332128,0.967232,0.166595,-0.193863,1.05423,0.274387,-0.160945,0.724476,0.312982,-0.366732,0.0603286,0.0744366,-0.508431,0.479256,0.144223,-0.186427,0.95751,0.0445976,-0.247265,1.3932,0.17327,-0.60688,0.0649809,0.0542446,-0.202969,0.802805,0.257265,-0.137671,0.81663,0.288854,0.07176,0.241766,-0.118077,-0.387073,1.0643,-0.24402,-0.56319,0.767631,-0.201685,0.114481,0.303895,-0.0516848,-0.288748,0.441128,-0.164796,-0.18737,0.951052,-0.019553,-0.318494,1.40589,-0.167974,0.0626226,0.0748537,-0.0625409,-0.51149,0.85816,-0.157682,-0.486923,0.826801,-0.219312,-0.42635,1.19257,0.0334369
20,0.189822,-0.211375,1.42108,-0.0107367,-0.425989,0.0896861,0.121652,-0.331974,0.969738,0.167659,-0.202962,1.05471,0.27532,-0.179935,0.72409,0.312413,-0.353667,0.0603643,0.0743893,-0.500173,0.478229,0.145009,-0.185994,0.9591,0.0455098,-0.249316,1.39607,0.174834,-0.593856,0.0649287,0.0542239,-0.21899,0.803684,0.256307,-0.153507,0.815374,0.288906,0.059772,0.248427,-0.116361,-0.381825,1.06516,-0.242371,-0.546657,0.760805,-0.20679,0.098756,0.310435,-0.0481003,-0.302782,0.442658,-0.164837,-0.186986,0.952981,-0.0189922,-0.316686,1.40795,-0.167532,0.0553065,0.0797093,-0.0640922,-0.499733,0.852938,-0.160825,-0.473447,0.823911,-0.222827,-0.426129,1.1951,0.0333592
