Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RASI_X,RASI_Y,RASI_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
0.0,1.1373868,1.502047,3.5613403,1.2134121,0.169457,3.6950252,1.2953081,1.003857,3.4983158,1.0514709,1.152487,3.4750124,1.0171982,0.835597,3.6441997,1.1410727,0.144497,3.6846182,1.35211,0.588017,3.6351297,1.1197897,1.036177,3.427173,1.1978393,1.441917,3.3719767,1.2884102,0.119817,3.8033941,1.0342987,0.918727,3.5998847,0.9953941,0.924277,3.584314,1.1025955,0.147837,3.8092986,1.1534817,1.023167,3.6714706,1.3891,1.177337,3.6480863,1.6878048,1.149007,3.4461109,1.0641565,0.103787,3.7564082,1.1427824,0.584727,3.7584922,1.0534802,1.052907,3.5136738,1.2319926,1.466607,3.7056976,1.2293763,0.097487,3.8596456,1.6106413,1.162537,3.5008266,1.6094053,1.123177,3.517485,1.2516113,1.446027,3.5411743
0.00999083,1.1376149484229534,1.5024991615212453,3.5611314719047087,1.21378557723761,0.1695787640625903,3.695252393480216,1.295372066061876,1.0041315076408484,3.4983368998680495,1.051657400593323,1.1525932116861517,3.4747757189569417,1.0168488493357046,0.8363887739084757,3.644538929783607,1.141445078166207,0.14457186044087703,3.684948717303315,1.3521798474557754,0.5880812883120021,3.6351327798551165,1.1198563358320175,1.0359578694286724,3.4269740686241015,1.198228810970585,1.4420858430868566,3.372279321860397,1.2890475750770252,0.12005904234749246,3.80354610537715,1.0337928472913545,0.9194908694876402,3.6004167801114004,0.9955152739810577,0.9241977841169141,3.5832875111309113,1.1031330877895198,0.14783960034382118,3.809672099078478,1.1534762507548033,1.0234229556573677,3.6712240936183034,1.3890773306093285,1.1772920531502948,3.6484438677689845,1.687933973437187,1.1480272820894695,3.4467529300009745,1.0646507302874764,0.10379244446181607,3.7568037793138798,1.1431767758450422,0.5848072078534722,3.758687412691549,1.0533635230540837,1.0526032176457247,3.513426622687175,1.2324970966173938,1.4667020010330318,3.705597699685773,1.2298783892421161,0.09754172754287478,3.859943479278605,1.6103685451408973,1.1622686608982353,3.5007894964979673,1.6096814669057329,1.1233874288113979,3.518598007860378,1.2516682331952944,1.4459712826829803,3.541442240701688
0.0199817,1.1373798993531212,1.502613437280472,3.560452371532526,1.2134456143086905,0.1690110526208855,3.695480401167223,1.295759340093685,1.0042019282375614,3.4992612542420147,1.0516136316700702,1.1525878367409559,3.4740219036563196,1.0161630789741019,0.8363811426693019,3.6434496579163187,1.1410144042133066,0.14404945981152198,3.685393827258518,1.3512086843165172,0.5876984502251316,3.635103150283066,1.1204552688909797,1.0364372219345164,3.4274949454900625,1.1987735439436844,1.4420264842524084,3.372203523423241,1.2891083543237316,0.11927151322045483,3.8034323106129637,1.0329561581126459,0.9194757081053754,3.5993722676602316,0.9947959725300841,0.9240828363262823,3.581941570790788,1.10289878871974,0.1477508968846366,3.8095593982176723,1.1534298998226058,1.0235173635951815,3.6717852327298526,1.3893006223402002,1.1777575099271167,3.648713070762771,1.688395203092123,1.1501279461335028,3.4469763975248617,1.064595832197882,0.10373109034517916,3.7566637168529757,1.1425642361379624,0.5848153922803687,3.758889366051646,1.0538100212106136,1.053031088810384,3.513864080176792,1.2322805601033668,1.4670194533147067,3.7055238445582184,1.2297115575801967,0.09747853478592278,3.8599129482481014,1.6105561885327326,1.1641251842983806,3.5007510017171692,1.610250906981645,1.1253672831737342,3.5188945342018334,1.2517507092277556,1.4463473996352854,3.541593744229153
0.0299725,1.1368379960368404,1.502486785450754,3.5594657352081627,1.2132050175479565,0.16805971306571485,3.6960637989483454,1.2962201103094302,1.0042984034638447,3.5003802626066514,1.0513473970450813,1.1525518278483682,3.472999956012039,1.0149642896456845,0.8361466492741328,3.64186855516602,1.1406635993952392,0.14312452904650957,3.686262324112244,1.3498100629870657,0.5871611967631648,3.6350409329402833,1.1211847161102246,1.037026840326288,3.4280205808861433,1.1993127767777654,1.4418115544409482,3.3717675333696806,1.2893469841354928,0.11810252616372745,3.80361942057799,1.0317488776682602,0.9191697894387885,3.597674452673751,0.9934634810003403,0.92406092090946,3.580546623823044,1.1024927983017019,0.14762686537924777,3.8092750621254767,1.1532958197243237,1.0235629245370688,3.6723933962398103,1.389397851328618,1.178238404783705,3.648970869556177,1.6890190507568206,1.1537266776199162,3.4474180362628304,1.0644139379916813,0.10363299519241378,3.756336290891097,1.1416391173134506,0.584810941346005,3.7590236001696193,1.0543531470677154,1.0535581321649692,3.5142615950527274,1.2314993467788247,1.4672748430556928,3.7053034719277003,1.2293878901717736,0.09738785317350933,3.859758160975523,1.610926666205055,1.1669163451366713,3.5010652276622607,1.6109117154860668,1.1280979628655021,3.5191136298917534,1.2517177857578412,1.446794103218745,3.5415652613818827
0.0399633,1.1361383129077558,1.50220734496813,3.55833242674937,1.2138014032671989,0.16700163495847714,3.697289669086107,1.29653061588244,1.0046222174329065,3.501039945112648,1.050896770815368,1.1525443681807648,3.471942942062897,1.0131626535972214,0.8361943810202518,3.640663164912684,1.141196559468589,0.14197265326692923,3.687789558980294,1.3485444234266466,0.5867289388669432,3.6349377091134873,1.1216864563340305,1.0371838885838431,3.4278875089957004,1.1997005725299301,1.44151071338257,3.371001186086815,1.2904344318214223,0.1171366759377969,3.8045960403720613,1.0301935768842667,0.919009339263135,3.5961838074717596,0.9917916410128409,0.9242244287910539,3.5793481470725554,1.102454725100884,0.1475222296977167,3.809111245814956,1.1530228703219598,1.0236589187249805,3.672346274604772,1.3890393575508777,1.178278674342158,3.6492755329385216,1.6896473346287868,1.157371867249285,3.448632896039706,1.0644841811151724,0.10353076251985335,3.7561443596621813,1.1410371499010408,0.584847847805784,3.7590213600719364,1.0545706729369104,1.0536019993945773,3.5139432791158605,1.2303054555467268,1.4671956755841686,3.7047913526761307,1.2293668778462048,0.09735005210241104,3.859671638832021,1.6112233344293785,1.1695555348879907,3.5020269696121717,1.6114823624218721,1.1306533584022997,3.5199103839689387,1.2514431655860523,1.4469757776175673,3.541309167022961
0.0499541,1.1353445505069144,1.5017595726971902,3.5571914668445928,1.2150886955756528,0.1657734710095504,3.6986516980690793,1.2967732107611607,1.0050354452172234,3.501228104230786,1.0506556629290917,1.1523687526584812,3.470896796423818,1.0116884680956093,0.8362875737681337,3.6398887855497946,1.1424884297019278,0.14054449857953755,3.6893474986546972,1.3473481545498178,0.5862697642419142,3.634684675805969,1.122114159854671,1.0368988143492672,3.427038438612515,1.1999646567607172,1.4411587163253206,3.3700707611260627,1.292060441148469,0.11621214398517954,3.8059328025144463,1.0290456402618688,0.9188188237093068,3.5950227190995547,0.9906017436508723,0.9242382240530317,3.578298444364225,1.102612100052513,0.14747702342339714,3.80909673960603,1.1525092226926263,1.0237468616264906,3.671626801828415,1.3883933766377325,1.1778793924531044,3.6494655591112197,1.6902540708358411,1.1611476943900145,3.4502158576215725,1.0646803057540697,0.10348694031036326,3.7561120400604366,1.1407053673652738,0.5849166876413954,3.758880900318452,1.0545611973810012,1.0531694899769728,3.5128054098085957,1.2287997326036273,1.4666506411454434,3.7041635601235265,1.2294898620778352,0.09732724619354617,3.859709191055898,1.6114353931686753,1.1721736081697385,3.503233803845958,1.6120206742836185,1.1331940332536714,3.520952936286985,1.2509726717358332,1.4468579858105377,3.540964983281171
0.059945,1.1345127958407621,1.5011349346864078,3.556099069079976,1.216504913003653,0.1641711066656241,3.699426142397538,1.2971496662738005,1.0052737784401686,3.501346818482913,1.051045440691683,1.1517899855998894,3.4698078067858473,1.0114871587010243,0.8359447722680143,3.639184872742397,1.1439670960303578,0.13870300912262512,3.6901051805912846,1.3458666033137736,0.585506701405994,3.6342165557055597,1.1228228741011772,1.0364594898607649,3.425845031906479,1.2002856046735413,1.4407354612363488,3.3691744730165927,1.2935209704456359,0.11485045342998633,3.8068754971478347,1.0290256691033692,0.918223838095671,3.5939278671808257,0.9905765756405676,0.9237187515678609,3.577218360634641,1.1025130160896592,0.1475024790287353,3.809107501084851,1.1516769414288062,1.0237257355821119,3.6706637077201667,1.387751089299509,1.1772643755945702,3.649321879157224,1.6906886422557046,1.1656929233106719,3.4512350692550653,1.064682688698341,0.10355341428431922,3.756089864077969,1.140266022260878,0.5849822563072317,3.758687074750772,1.0546558034664573,1.0525964932106793,3.511173895894882,1.2271002531475803,1.4656994260560687,3.7036949234233263,1.2293604784769916,0.09722996310821384,3.8598224314912275,1.6115112412093442,1.1753255730972967,3.5039278162293948,1.612516871353811,1.1362359897111545,3.521400505280623,1.2504643485748217,1.4465834807638895,3.5407275784654773
0.0699358,1.1338897785467972,1.500621480038685,3.554837936937898,1.2181176938177618,0.16231086851723991,3.7000849787828116,1.2975444390006892,1.0054494511692493,3.501788661776946,1.0516685867840043,1.1510864792557558,3.4687094998205845,1.010901770466291,0.8356443292678453,3.6386339582441627,1.1456811438671488,0.13654430505507778,3.690669959505282,1.3442017252294922,0.5845982438825911,3.633901544427584,1.123642418347212,1.035958510668308,3.4248222548817457,1.201004580475913,1.440091769725367,3.368284743203826,1.2950872752843383,0.11324639579284058,3.80775738005842,1.028801046875413,0.9176444359907948,3.59300701039412,0.9904117440553901,0.9232021854787564,3.576162829548957,1.1024379258493247,0.14753223246150218,3.8090921408400606,1.1506781796411525,1.0237347283617977,3.669890554250766,1.3866042832839227,1.1763632989259143,3.64897092651887,1.6899616571652254,1.1698791349317657,3.451151870390829,1.0647111453156786,0.10366074506664082,3.7560101331797098,1.139831150381123,0.5850706541259779,3.7586978362190546,1.0547628527532777,1.0520050975187554,3.509609950536911,1.2255265518471807,1.4648008436480247,3.7032206119448374,1.229237874577616,0.0970701077934988,3.8599008029789643,1.6106006272366287,1.1781031547418075,3.5037463322806865,1.6120721156796893,1.1388968298021305,3.5209461086812084,1.2500780236859272,1.4462221510754212,3.5405278061386998
0.0799266,1.1335957536595012,1.5003178546371037,3.553424618852368,1.2198527061502784,0.16023232612407032,3.7009961493617665,1.29791870762881,1.0056503184163754,3.5027082070210693,1.0522015504862938,1.150447207513082,3.4676399241322837,1.008609571043402,0.835667113229099,3.6381741654107684,1.147527570863386,0.13409718208412647,3.6916030364523205,1.3424193959111443,0.5835490838236508,3.633794708888827,1.1244426339782634,1.0353951419229626,3.424263646181532,1.2023105421722458,1.4391507196359317,3.3675069545109153,1.2969624378056837,0.1115597072817533,3.8087886538502405,1.0273179235662164,0.9173260531795,3.5922404991124406,0.9890845061765252,0.9230221588484834,3.575060108824535,1.1025496571087856,0.1475190602544556,3.809059647305241,1.149721716336385,1.0238668224105933,3.669543015081122,1.384855403390533,1.175235865899317,3.648730804629588,1.68774323989513,1.1732677963102502,3.4499818693691955,1.0648784620962974,0.10374497518404827,3.755889565723628,1.1395024778706142,0.5851786603153507,3.7590840141009494,1.0548422858853663,1.0514062056659554,3.508469258120139,1.2242679549708746,1.4642230439156474,3.7027013050376123,1.229283685706971,0.09688223310119022,3.8598988702344936,1.6084376550701152,1.180152372962691,3.5027724474257353,1.6104302483795525,1.1408646790234978,3.5197473543935374,1.2498961472609438,1.4458034462047897,3.540423997245254
0.0899174,1.133486442390169,1.499916463484039,3.5523303589428625,1.2211963743379715,0.15773783115325996,3.7018987617644643,1.298464975711711,1.0057689075534038,3.503895026261097,1.0527366649061758,1.1497241286008562,3.466618016006206,1.0048865531014584,0.835607930175897,3.6373608540735947,1.1489580797631787,0.13119582276442412,3.692811174143408,1.34034027512652,0.5819772887691051,3.6333320028903815,1.1253593240425717,1.034710445936671,3.4240560180566706,1.2040544301465654,1.4379995663909437,3.367207614115726,1.2988629441415487,0.1096398348029719,3.8095803385760267,1.0247985125349974,0.9169294274559802,3.5912755273601826,0.9868174678231544,0.922838810838591,3.573579979127844,1.1025553399492083,0.14747717104423305,3.809078205843576,1.14899652451329,1.0240436224734968,3.6695371444737415,1.383341361117237,1.174218447908082,3.6490509633755295,1.6850567243851085,1.1770803522256301,3.4484427568689053,1.0649325875196813,0.1038010623893302,3.7558358886341106,1.139183072226178,0.5852403892552076,3.759813284949494,1.0550921738993646,1.0507333290161402,3.5076858460793625,1.223256409585718,1.4637692232221355,3.702445020748963,1.2292618707456031,0.09669613090389576,3.8598919976595014,1.605974089720568,1.1824699266047773,3.5016193433606277,1.6086653691711386,1.1431735984557538,3.5184614131764573,1.2498849855406398,1.4453189280636964,3.5407399826434682
