Frame#,Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RASI_X,RASI_Y,RASI_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
1,0.0,-0.25201,1.43721,0.0561689,-0.442338,0.087093,0.163644,-0.320259,0.964199,0.231745,-0.147996,1.11221,0.361928,-0.453326,1.04543,0.286302,-0.369758,0.0589829,0.118667,-0.478629,0.472583,0.200753,-0.186301,0.988059,0.11212,-0.259493,1.40699,0.239125,-0.607256,0.0659806,0.0803215,-0.352236,1.06062,0.258146,-0.356613,0.999956,0.29536,0.151263,0.272564,-0.0181863,-0.330894,0.951073,-0.0791176,-0.487275,1.14594,-0.195264,-0.568218,1.08019,0.125567,0.193054,0.323634,0.0611317,-0.222714,0.450689,-0.0714392,-0.195319,0.99166,0.050037,-0.391016,1.44209,-0.0680416,0.13352,0.102418,0.0151799,-0.497364,1.08865,0.0356741,-0.554307,1.04252,0.0254385,-0.447001,1.20012,0.122385
2,0.00999091,-0.251792,1.42541,0.0591513,-0.422434,0.0876846,0.163464,-0.316782,0.958155,0.233251,-0.157717,1.09634,0.36423,-0.463236,1.03801,0.283264,-0.35034,0.058887,0.118476,-0.487025,0.473847,0.201541,-0.181923,0.978,0.110592,-0.261078,1.39568,0.243142,-0.585781,0.0687041,0.0810773,-0.361422,1.05097,0.256586,-0.367842,0.990125,0.293127,0.144831,0.277647,-0.0182953,-0.332246,0.940104,-0.0793301,-0.479996,1.13441,-0.197311,-0.569806,1.05976,0.119041,0.185582,0.32818,0.0619994,-0.234362,0.439872,-0.0694515,-0.193025,0.980454,0.0484497,-0.391217,1.43333,-0.0672118,0.13065,0.106942,0.0111319,-0.495911,1.07068,0.0316299,-0.551702,1.02416,0.018994,-0.447324,1.18913,0.122321
3,0.0199818,-0.250515,1.41496,0.0623046,-0.40362,0.0877376,0.163841,-0.31179,0.953072,0.234164,-0.168384,1.08024,0.366359,-0.473632,1.03098,0.279647,-0.331043,0.0592257,0.118946,-0.49359,0.474659,0.202861,-0.177483,0.967919,0.106561,-0.262596,1.38586,0.247508,-0.566748,0.068213,0.081848,-0.371085,1.04165,0.25445,-0.379709,0.980597,0.290182,0.135795,0.282088,-0.0186956,-0.332811,0.929044,-0.0798594,-0.471291,1.12244,-0.199397,-0.570922,1.03913,0.111086,0.176515,0.332564,0.0618883,-0.247887,0.430041,-0.0669038,-0.189695,0.968314,0.0444027,-0.390884,1.42509,-0.0674648,0.125315,0.111131,0.00784688,-0.493662,1.05234,0.0269997,-0.548211,1.00569,0.0115873,-0.447531,1.17776,0.122345
4,0.0299727,-0.248927,1.40799,0.065305,-0.385053,0.0874365,0.164204,-0.305047,0.949093,0.234208,-0.180151,1.06417,0.368134,-0.484495,1.02459,0.275377,-0.311521,0.0596546,0.119466,-0.496895,0.473006,0.206039,-0.173449,0.95802,0.100427,-0.263307,1.37656,0.25186,-0.54803,0.0667857,0.0823626,-0.381232,1.03301,0.251776,-0.39216,0.971684,0.286557,0.124406,0.286024,-0.0193173,-0.332548,0.918545,-0.0805507,-0.461201,1.11032,-0.201478,-0.571559,1.01866,0.101543,0.166327,0.336598,0.0609834,-0.263219,0.421861,-0.0645191,-0.186076,0.956061,0.0373959,-0.390629,1.41697,-0.0687489,0.117608,0.114871,0.00551655,-0.490527,1.03438,0.0222498,-0.543556,0.987269,0.00321902,-0.447448,1.16653,0.122524
5,0.0399636,-0.249666,1.40512,0.067684,-0.365558,0.0872194,0.164259,-0.299436,0.945395,0.23439,-0.193049,1.04868,0.369297,-0.495736,1.01941,0.270494,-0.29161,0.0598274,0.1195,-0.49605,0.468049,0.210892,-0.170473,0.948553,0.0942168,-0.263424,1.36704,0.256069,-0.528249,0.0661869,0.0826118,-0.391812,1.02558,0.248631,-0.405074,0.963829,0.282254,0.11131,0.289376,-0.0200803,-0.331802,0.909736,-0.0810562,-0.44978,1.0988,-0.203491,-0.571469,0.998855,0.0903413,0.155206,0.340146,0.059435,-0.279337,0.41527,-0.0622276,-0.182893,0.94461,0.0292427,-0.391457,1.40846,-0.0701699,0.107569,0.117983,0.00406484,-0.486139,1.01653,0.0167162,-0.537437,0.969288,-0.00601936,-0.446929,1.1564,0.122934
6,0.0499545,-0.253861,1.4041,0.0695185,-0.345493,0.0874306,0.164064,-0.295902,0.940517,0.234577,-0.206662,1.0345,0.370079,-0.507219,1.01582,0.264763,-0.271678,0.0599016,0.119231,-0.491637,0.460961,0.215674,-0.1687,0.94024,0.0901562,-0.263998,1.35801,0.259966,-0.508221,0.0657971,0.0827059,-0.402661,1.01971,0.245104,-0.418294,0.957493,0.27718,0.096909,0.292043,-0.0210698,-0.331376,0.903231,-0.0810337,-0.437112,1.08888,-0.205413,-0.57051,0.980249,0.0776034,0.143067,0.343072,0.0572921,-0.295841,0.409364,-0.0599064,-0.180087,0.934797,0.0236297,-0.393412,1.39976,-0.0705306,0.0952292,0.120313,0.00328478,-0.48057,0.999435,0.010447,-0.529829,0.952217,-0.0159262,-0.446049,1.1482,0.123538
7,0.0599455,-0.258445,1.40215,0.0716227,-0.325933,0.0875548,0.163716,-0.293655,0.934245,0.234202,-0.220818,1.0224,0.370424,-0.518721,1.01418,0.258289,-0.251977,0.0600161,0.118872,-0.484301,0.452691,0.219431,-0.167443,0.933934,0.0886408,-0.265974,1.35101,0.263132,-0.488537,0.0652165,0.0827504,-0.413587,1.01559,0.241242,-0.431676,0.953105,0.271318,0.0814796,0.293946,-0.0223563,-0.331344,0.898638,-0.0804419,-0.423282,1.08115,-0.207337,-0.568232,0.963266,0.06377,0.130009,0.345119,0.054694,-0.312451,0.403757,-0.0573417,-0.177544,0.927567,0.0225805,-0.395074,1.39159,-0.0697596,0.0806625,0.122262,0.00314672,-0.47412,0.984205,0.00374824,-0.520686,0.936706,-0.0262575,-0.444994,1.14209,0.124171
8,0.0699364,-0.259582,1.39802,0.0745691,-0.307121,0.0873885,0.163313,-0.29092,0.929102,0.234357,-0.235331,1.01265,0.37032,-0.530064,1.01472,0.251172,-0.232422,0.0605602,0.118728,-0.475608,0.443988,0.22217,-0.165539,0.929892,0.0886863,-0.269213,1.34592,0.265297,-0.469256,0.06452,0.082698,-0.424428,1.0134,0.236785,-0.445091,0.951005,0.264843,0.0651179,0.295095,-0.0237296,-0.331095,0.895344,-0.0796658,-0.40834,1.07522,-0.209546,-0.564292,0.948283,0.0493091,0.116303,0.346035,0.0517415,-0.329101,0.399192,-0.0546549,-0.175604,0.922798,0.0241955,-0.394872,1.38477,-0.0687689,0.0638169,0.12389,0.00260324,-0.466804,0.971493,-0.00342863,-0.509996,0.923388,-0.0367694,-0.44371,1.13754,0.124624
9,0.0799273,-0.257178,1.39233,0.0774682,-0.288266,0.0874645,0.162863,-0.28801,0.925893,0.235602,-0.250014,1.00489,0.369771,-0.541069,1.01767,0.243426,-0.212966,0.0614249,0.118646,-0.467511,0.435793,0.223631,-0.163502,0.92768,0.0897233,-0.272536,1.3422,0.266883,-0.45008,0.0639297,0.0825611,-0.435042,1.01334,0.231508,-0.458466,0.951184,0.257844,0.0483365,0.295236,-0.0251535,-0.330215,0.893193,-0.0789101,-0.392382,1.07056,-0.212325,-0.558516,0.935704,0.0346021,0.102233,0.345766,0.0487386,-0.345746,0.396355,-0.0519362,-0.174065,0.920638,0.0258853,-0.392664,1.37958,-0.0683465,0.0451973,0.124441,0.0022002,-0.457794,0.961386,-0.0112536,-0.497843,0.912627,-0.0472779,-0.442174,1.13384,0.124778
10,0.0899182,-0.253508,1.38695,0.0789429,-0.269148,0.087803,0.162475,-0.285826,0.923696,0.237549,-0.264742,0.998796,0.368743,-0.551504,1.02302,0.235162,-0.193564,0.0621659,0.118402,-0.460819,0.428854,0.223887,-0.161986,0.926689,0.0915495,-0.275044,1.33945,0.268552,-0.430793,0.0635098,0.082427,-0.445262,1.01545,0.225678,-0.47155,0.953683,0.250451,0.0314776,0.294119,-0.0266111,-0.328823,0.892059,-0.0782941,-0.375586,1.06745,-0.215563,-0.550881,0.92583,0.0200835,0.0879435,0.344186,0.0457838,-0.36216,0.395645,-0.0493506,-0.172771,0.919754,0.0277024,-0.3892,1.37588,-0.0686062,0.0249846,0.123872,0.00214102,-0.448317,0.954661,-0.0189107,-0.484505,0.904647,-0.057539,-0.440613,1.13072,0.124587
