Frame#,Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
11,0.0999102,-0.0900239,1.44858,-0.00203198,-0.250299,0.0907391,0.108245,-0.21152,0.988169,0.166162,-0.154961,1.06461,0.271995,-0.215504,0.73785,0.285263,-0.181154,0.0601616,0.0537007,-0.307318,0.477751,0.142346,-0.0649869,0.986047,0.0445274,-0.148392,1.41891,0.177991,-0.420165,0.0666685,0.0519967,-0.225672,0.827202,0.231433,-0.162595,0.819743,0.268943,0.120808,0.233608,-0.129742,-0.211961,1.08406,-0.254191,-0.32181,0.753113,-0.250595,0.177291,0.289328,-0.0663304,-0.224625,0.467674,-0.165058,-0.0642452,0.97872,-0.0197373,-0.183971,1.42954,-0.16829,0.0736625,0.0793295,-0.0668928,-0.298361,0.850068,-0.196446,-0.26407,0.832336,-0.257867,-0.289406,1.20874,0.0191502
12,0.109901,-0.0899558,1.44989,0.000256623,-0.242259,0.0908173,0.108262,-0.211294,0.989057,0.166904,-0.162154,1.06624,0.27497,-0.227236,0.740555,0.288545,-0.173108,0.0602967,0.0536948,-0.302045,0.477505,0.142616,-0.0646379,0.987573,0.045664,-0.150522,1.42034,0.179594,-0.412135,0.0666385,0.0519836,-0.235116,0.8296,0.233818,-0.173012,0.821484,0.27287,0.113928,0.239079,-0.128723,-0.206265,1.08512,-0.2538,-0.312011,0.752827,-0.252738,0.169067,0.294252,-0.0636044,-0.234513,0.469844,-0.164292,-0.0636623,0.980059,-0.0185753,-0.181681,1.43071,-0.167238,0.0677737,0.0832819,-0.0687919,-0.29056,0.849936,-0.197969,-0.255219,0.832816,-0.258934,-0.289045,1.20984,0.0191774
13,0.119892,-0.0898583,1.45116,0.00248141,-0.234318,0.09094,0.10811,-0.210959,0.989878,0.167714,-0.169253,1.06803,0.27785,-0.239129,0.743493,0.291544,-0.165247,0.0603377,0.0536183,-0.296463,0.477192,0.142848,-0.0641972,0.989052,0.0465607,-0.152672,1.42183,0.181131,-0.404142,0.0666091,0.0519772,-0.244722,0.832165,0.23592,-0.183513,0.823342,0.276645,0.106775,0.244492,-0.1276,-0.200436,1.08622,-0.253461,-0.302395,0.752754,-0.254789,0.161482,0.298073,-0.0607112,-0.243868,0.472336,-0.163398,-0.0629825,0.981413,-0.0175975,-0.17933,1.43186,-0.16621,0.059273,0.0882906,-0.0711278,-0.282742,0.849925,-0.199403,-0.246512,0.833386,-0.259872,-0.288534,1.21092,0.0190824
14,0.129883,-0.0896738,1.4524,0.00462559,-0.226342,0.091087,0.107855,-0.210585,0.990615,0.168662,-0.176282,1.06996,0.280662,-0.251418,0.746602,0.294483,-0.157119,0.0604642,0.0535529,-0.290609,0.476804,0.143156,-0.0636043,0.990396,0.0473141,-0.154649,1.42325,0.182506,-0.396144,0.0665609,0.0519378,-0.254172,0.834869,0.237871,-0.19412,0.825315,0.280252,0.0989864,0.249215,-0.12639,-0.194437,1.08736,-0.253187,-0.29292,0.752843,-0.256725,0.154275,0.300458,-0.0577634,-0.252632,0.47502,-0.162549,-0.0620905,0.982797,-0.0167706,-0.17694,1.433,-0.165196,0.0486215,0.0931511,-0.0736758,-0.27502,0.850029,-0.200725,-0.238147,0.834044,-0.260764,-0.287948,1.212,0.018848
15,0.139874,-0.089408,1.45361,0.00670167,-0.218274,0.0912644,0.107594,-0.209934,0.99126,0.169611,-0.183279,1.07193,0.283299,-0.263836,0.749974,0.297084,-0.148993,0.0605774,0.0534963,-0.284334,0.476544,0.14348,-0.0628978,0.991592,0.0479442,-0.156465,1.42459,0.183697,-0.38812,0.0665105,0.0518646,-0.263487,0.837701,0.239627,-0.204841,0.827442,0.283669,0.0906183,0.252801,-0.125083,-0.188363,1.08851,-0.252905,-0.283571,0.753069,-0.258597,0.147066,0.301223,-0.0548135,-0.260939,0.477805,-0.161803,-0.0610593,0.984088,-0.0160425,-0.174459,1.43412,-0.164162,0.0366596,0.0971524,-0.0762041,-0.267408,0.850253,-0.201998,-0.229743,0.834787,-0.261572,-0.287318,1.21304,0.0184776
16,0.149865,-0.0891104,1.4548,0.00870988,-0.210229,0.0913585,0.1075,-0.209041,0.991838,0.170523,-0.190215,1.07393,0.285794,-0.276323,0.753594,0.2993,-0.14092,0.0606583,0.0534665,-0.2779,0.476343,0.14381,-0.0620654,0.99267,0.0484966,-0.158236,1.42596,0.184813,-0.380081,0.0664817,0.0518191,-0.272667,0.840644,0.241077,-0.215688,0.829788,0.286855,0.0817486,0.255123,-0.12373,-0.182161,1.08963,-0.252596,-0.27436,0.75342,-0.260409,0.139323,0.300594,-0.0520074,-0.268856,0.480761,-0.161065,-0.0600879,0.985292,-0.0154474,-0.171838,1.43522,-0.163068,0.0239816,0.099997,-0.0786951,-0.259894,0.850587,-0.203267,-0.221299,0.835597,-0.262292,-0.286731,1.21405,0.0179955
17,0.159856,-0.0888113,1.45594,0.0106283,-0.202108,0.0914501,0.107508,-0.208004,0.992343,0.171414,-0.197033,1.07597,0.288164,-0.289001,0.757408,0.301252,-0.132859,0.06074,0.0534569,-0.271416,0.476125,0.144162,-0.0611775,0.993624,0.0489884,-0.16,1.42734,0.185861,-0.372067,0.0664343,0.0517622,-0.28175,0.843719,0.242216,-0.226555,0.832245,0.289847,0.0723214,0.256213,-0.122391,-0.175812,1.09072,-0.252219,-0.265176,0.753852,-0.262065,0.130837,0.298785,-0.0493864,-0.276384,0.483924,-0.160298,-0.0591248,0.986417,-0.0149756,-0.169294,1.43626,-0.162012,0.0108605,0.101566,-0.0811661,-0.252505,0.851022,-0.204534,-0.212901,0.836447,-0.263008,-0.286286,1.215,0.0174105
18,0.169847,-0.088558,1.45704,0.0124851,-0.194008,0.0916162,0.107528,-0.206859,0.992735,0.172303,-0.203688,1.07806,0.290399,-0.301691,0.761469,0.302791,-0.124791,0.06084,0.0534398,-0.26494,0.475878,0.144557,-0.0601848,0.994501,0.0494353,-0.161781,1.42876,0.186882,-0.364053,0.0663908,0.0516861,-0.290745,0.846938,0.243268,-0.237487,0.834849,0.292627,0.0622993,0.256047,-0.121131,-0.169317,1.09175,-0.25177,-0.256055,0.754324,-0.263647,0.121743,0.295704,-0.0468898,-0.283519,0.487185,-0.159503,-0.0581337,0.987507,-0.0145538,-0.166836,1.43723,-0.161008,-0.00296846,0.102082,-0.0833197,-0.245271,0.851525,-0.205796,-0.204579,0.837257,-0.263523,-0.286027,1.21588,0.0167437
19,0.179838,-0.0883392,1.45805,0.0142762,-0.186177,0.0916422,0.107477,-0.205577,0.993011,0.173189,-0.21012,1.08026,0.29256,-0.31437,0.765854,0.303996,-0.116803,0.0609028,0.0534021,-0.258461,0.475614,0.144958,-0.0591324,0.995346,0.0498413,-0.163529,1.4302,0.187874,-0.356049,0.066353,0.051646,-0.299613,0.850265,0.244013,-0.248445,0.837616,0.295162,0.0518483,0.254511,-0.119876,-0.162709,1.09273,-0.25127,-0.247195,0.754815,-0.26528,0.1122,0.291072,-0.0445721,-0.290289,0.490485,-0.158666,-0.0572836,0.988579,-0.0141949,-0.164446,1.4381,-0.160021,-0.0175469,0.101718,-0.0852008,-0.238206,0.852052,-0.207046,-0.196263,0.83803,-0.263896,-0.285479,1.21667,0.0160881
20,0.189829,-0.0881143,1.45898,0.0160208,-0.178352,0.0916617,0.10738,-0.204196,0.993128,0.174097,-0.216412,1.08245,0.294574,-0.327049,0.770369,0.304882,-0.108912,0.0609698,0.0533751,-0.251971,0.475328,0.145347,-0.058078,0.996202,0.0501698,-0.164976,1.4314,0.188714,-0.348096,0.0663311,0.0516284,-0.308318,0.853671,0.244445,-0.259348,0.840523,0.297416,0.0410505,0.251881,-0.118632,-0.156073,1.09365,-0.250745,-0.238391,0.755305,-0.266849,0.102257,0.285287,-0.0424607,-0.29673,0.493784,-0.157778,-0.0566898,0.989569,-0.0138979,-0.162136,1.43886,-0.159049,-0.0328687,0.100612,-0.0869786,-0.231319,0.852576,-0.208282,-0.187887,0.83879,-0.264287,-0.284705,1.21739,0.0154567
