Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
0.0,0.1080809,1.4860003,-0.2114547,0.1217887,0.1034203,-0.372412,0.2160484,0.9696503,-0.1501742,0.3132784,1.1200203,-0.2580501,0.3030704,0.8077603,-0.0844381,0.0624608,0.0716403,-0.4096102,0.1899227,0.5261303,-0.2621242,0.0910553,1.0343703,-0.2759089,0.2863636,1.4573903,-0.2130375,0.1751716,0.0358203,-0.2590503,0.307635,0.8934403,-0.1238518,0.3193787,0.8812403,-0.1621687,-0.2996389,0.1708303,-0.1816413,-0.0918197,1.1393203,-0.0792277,-0.0270033,0.8323703,0.0913905,-0.3212751,0.1419703,-0.2497901,-0.1384004,0.5666403,-0.0828091,-0.0010087,1.0490303,-0.2185089,0.0071056,1.4613103,-0.0679097,-0.2219826,0.0888903,-0.0914192,-0.0402191,0.9152203,0.0483199,-0.0740898,0.9034503,0.0257399,0.1621232,1.4346603,-0.1112908
0.00997947,0.10832225656866852,1.4859435928748173,-0.21196472149455325,0.12190428735384903,0.10335762336314867,-0.3727234831237648,0.21650120470305487,0.969852438901735,-0.15068653841882196,0.3146957445022202,1.120205157546444,-0.2575446863145024,0.30412604097716645,0.8084556327167146,-0.08399950765437937,0.06253166505511093,0.07160618311802278,-0.4097262163949681,0.18984963599724988,0.5260817139305157,-0.2622272380267608,0.09128949750615098,1.034000871152879,-0.27632709182085563,0.2865916119502616,1.4573273099769282,-0.2132871506708367,0.1751580859721416,0.03570035707818811,-0.2592410669691112,0.30788713118263084,0.893668216274431,-0.12386952496667529,0.3215108968252283,0.8816106399806812,-0.16157130947025194,-0.29977651880776846,0.17094349379722013,-0.18150489213452262,-0.09307352917227495,1.1394304686185133,-0.07994675715633444,-0.028068251361263553,0.8314894951998736,0.08923878765093636,-0.32117123770254413,0.14202424511086198,-0.24968026486832567,-0.13818265863798854,0.566906676510866,-0.08333926098780303,-0.0006106838766704963,1.0488446654279022,-0.2187283311902835,0.007275699868124866,1.4609320368036949,-0.06832672869171337,-0.22208028130963678,0.08906813828759712,-0.09111340216612522,-0.041094415193735474,0.9149416914530965,0.047112381154572655,-0.07516986764821533,0.9033930502091789,0.024732966734959415,0.1620843089776683,1.434744879999192,-0.1115399307128307
0.0199589,0.1081975847839804,1.486212073660484,-0.21195736471199186,0.12195273974993276,0.10321829169441431,-0.37278465775270414,0.21709181938645275,0.9700056486373441,-0.15033980292972343,0.31492036404659657,1.120497719488041,-0.256927843341208,0.3025944143104703,0.8088285172504376,-0.08353580716799154,0.06244611839341051,0.07155005467066039,-0.4095987520698011,0.18946425545775425,0.5262199246970101,-0.2627706703704066,0.0918768651280279,1.0339165977181148,-0.2760803452851487,0.2866212551763049,1.4576255167881516,-0.21316094549218478,0.17523296431566787,0.03549403407850446,-0.2593682355475278,0.3064888716533687,0.8938813097362601,-0.12357714088593855,0.32079351946047874,0.8818211664209638,-0.1610448993991216,-0.30015642866274006,0.1707540264941069,-0.1813627140296527,-0.09328681380646561,1.1394663415783493,-0.07884865267181289,-0.026186748266915392,0.8307794602907898,0.08856598974875976,-0.32131593649443924,0.14183583113305678,-0.24958075194836052,-0.13975040099056063,0.5678772403565627,-0.08493944947036589,3.2138860919970353e-05,1.0489105763959155,-0.21849397461279255,0.00753071021867282,1.4608701712099506,-0.06802380999640117,-0.2222528563481971,0.08885079517481341,-0.09104357833308446,-0.039615644964681805,0.9145904245757094,0.047128077963399476,-0.07393390416998732,0.9031198914738668,0.025061131329572488,0.16205133266931837,1.43506115320252,-0.1115236226756137
0.0299384,0.10804445327051067,1.4865986771984547,-0.21169392823509553,0.1220067976493854,0.103041792871694,-0.37274574260049376,0.2177770830839533,0.9701133944324508,-0.14954914371418565,0.31499229523675226,1.1208817184197988,-0.2563743606595508,0.3007177482754675,0.8090551850622738,-0.08319580426117967,0.062360638362039734,0.07148336108551458,-0.4094263139379993,0.18893253105408228,0.5264373833113102,-0.26356785455288023,0.09270619368445451,1.0339969042417276,-0.27548301911755385,0.2866362034116972,1.4580722717385102,-0.21277629161240869,0.1753050952383925,0.03522322897017179,-0.2594368841043182,0.3050926032997216,0.8941177541639638,-0.12323101190432158,0.3195285829550297,0.882019419437725,-0.16064335351371903,-0.300640754617564,0.17041929562601876,-0.18126280744251347,-0.09313016787993564,1.139629748781536,-0.07710625029981621,-0.023868504930253,0.8301512045418995,0.08834627444079944,-0.32159261959136143,0.14147781565858106,-0.24950033971756802,-0.14192625052721514,0.5690468606419993,-0.08717864120152923,0.0008322340908083599,1.0490773605299877,-0.21804060626100652,0.007851087216509484,1.461048460555697,-0.06748230372242599,-0.2225059478811908,0.08849628592028114,-0.09103633295006017,-0.03778318517760911,0.9142321228156242,0.04750071198596024,-0.07235713913286171,0.9028513708401762,0.025759049836245582,0.16208371463776913,1.4354613242157261,-0.11132869279891769
0.0399179,0.10816853092436314,1.4869101799752573,-0.21142285610405848,0.12213256342719668,0.10286737410784001,-0.37274730252592947,0.2185086915756401,0.970180610325925,-0.1487071090421353,0.3158312239190426,1.1213270553281514,-0.25603246667626,0.3004823000210626,0.8092970060485504,-0.08308900318585333,0.06241927937029061,0.07141734503975798,-0.4093923788260837,0.18840742907876068,0.5266352318652836,-0.26443896575236625,0.09365904498923412,1.034128101770024,-0.2748298283497158,0.2868039812917423,1.4584629712979313,-0.2122603601657143,0.1752923433858225,0.03491465275976424,-0.2594531955518272,0.3051471979649168,0.8944066046415928,-0.12304664899999423,0.3197724537055287,0.8823321385206496,-0.16039159996457442,-0.30109865393998964,0.17009095605944632,-0.18124940024626732,-0.09320055516088316,1.1400916776206282,-0.07580084994369327,-0.02335360611686407,0.8295154113074342,0.08762990019813699,-0.3218901484655385,0.14102672632040314,-0.24944853025576783,-0.14361161750007298,0.5699457226669443,-0.08962590689739454,0.0016971946173381192,1.0492061748553756,-0.21758358052794155,0.008216569870612613,1.4613891304689388,-0.06714554978238943,-0.2228396388124453,0.08824771453521464,-0.09093561787915472,-0.037379833124227824,0.9139209651472235,0.047431425044830985,-0.07219940894066719,0.9027798380108075,0.025939169304684234,0.1622349608167841,1.4358079799811283,-0.11104380809342927
0.0498973,0.10849520767184824,1.4871184173580445,-0.21123934942080652,0.12231702144564388,0.10273137979069957,-0.37281483434695306,0.21917716885445185,0.9702297698669521,-0.1479367385290083,0.3169223090820037,1.1216388384672424,-0.2557336568596457,0.30082283619662475,0.809538276395084,-0.08285636226719907,0.06261797731259898,0.07136080745423723,-0.40950122921795035,0.18788679429037303,0.526818241951736,-0.26528557288020865,0.09453095513226203,1.034278575115442,-0.27418127114808905,0.2870996166545782,1.458688990657983,-0.21185665894736952,0.17521992403996622,0.03465233630881537,-0.25943654527793064,0.30567541131620585,0.8946682721887306,-0.12275254804619462,0.3206532071440661,0.8826381698524566,-0.15996933128808516,-0.30148319696207015,0.16985215786169675,-0.18132122539110399,-0.09321708043733366,1.1406554872332313,-0.07492204000361039,-0.02366774526078174,0.8287787399952555,0.08637402061075893,-0.32216224598973403,0.1406039784900511,-0.24944342713165238,-0.14464743887559797,0.5705252101820443,-0.09185183531805964,0.0024766776420775635,1.0492992010749624,-0.21710669294097765,0.008598404845675468,1.461796142422659,-0.06700361115888749,-0.22318801772337743,0.08817038166293203,-0.09079215280727995,-0.037594293738972294,0.9135746433303482,0.04692504306814569,-0.07265279810671178,0.9027614763477527,0.02564130712443503,0.16248779078533,1.4360875381138092,-0.11077967475164975
0.0598768,0.1087724537025678,1.4872894743509695,-0.21113408092464345,0.1225106971890947,0.10265279937106246,-0.37291382374564574,0.2196763048707025,0.9702833326471022,-0.14720721607013137,0.31724128835275,1.1216277150963505,-0.25518445174934773,0.29956694884091545,0.8096810172410367,-0.08204591830564231,0.06287509925074654,0.07131330267915327,-0.409667985821729,0.18730700995386831,0.5270355619528171,-0.26607955586791615,0.09514381068027224,1.034456766381146,-0.2734909570774067,0.28740042793083015,1.4587417520020314,-0.2117612249553186,0.17515665102297723,0.03452425986991545,-0.2594110029958508,0.304861152222485,0.894797840314978,-0.12194059963391748,0.3201805846756454,0.8827407091470717,-0.15900660711412679,-0.301802172009952,0.169727049331574,-0.18144864180664294,-0.09261534519028072,1.1409976128040227,-0.07396044105993603,-0.022635646553482176,0.8278913617231767,0.08501216985711675,-0.322403432306022,0.14031795185217155,-0.2494980434984625,-0.14541257641025235,0.5709755522084787,-0.09355036457285144,0.003042840939056281,1.0494247532559362,-0.21651560193785274,0.008952785109560157,1.462175911437737,-0.06683700473900361,-0.22347022092288352,0.0882205910756973,-0.0907365955150936,-0.0366611045395319,0.9130779300288953,0.046378519911536284,-0.07196129057567037,0.9025355386457888,0.02534257172680829,0.1627742028472458,1.4363503265695408,-0.11062302420502548
0.0698563,0.10904071741492415,1.4874329700841185,-0.2110799671846624,0.12272663259292166,0.10258751953500404,-0.3730720342099761,0.2200769249208297,0.970316970133229,-0.1465799554453217,0.31752187211877997,1.1215686192470424,-0.2544321448057868,0.2981906366651878,0.8097646006967802,-0.08108474312374475,0.06318812118613863,0.07124326076452037,-0.40992240672954183,0.18676781184507393,0.5272406131276755,-0.2668626329945453,0.09565722582783326,1.0346156833970102,-0.2729018273170321,0.28769898470975397,1.45876476373443,-0.21166529360244488,0.1750624468920629,0.03448086479589006,-0.2593843287559569,0.30395829317909884,0.8948775883256831,-0.12095225990997464,0.3196353618278465,0.8827974700976617,-0.15785942813489764,-0.3020625478371666,0.16968140293614864,-0.18160784751045914,-0.09202275757293556,1.1412613591868692,-0.07328642256531755,-0.021780355002614694,0.8269936377949091,0.08350125368826601,-0.3226016081581024,0.1401029086218999,-0.24958148860433463,-0.1459697988967649,0.5713354540966176,-0.09491752847327334,0.00351457512851275,1.0495441301956454,-0.216015618015782,0.009197997654938218,1.4624948733697685,-0.06678181260797618,-0.22372103635745647,0.0883845093610316,-0.0906729068302727,-0.03586100993310569,0.9125478628921209,0.04564378492304381,-0.07136963892992691,0.9022649213148641,0.024828731300847347,0.1630087212930146,1.4365765857028623,-0.11050318871779537
0.0798357,0.1092871108790811,1.4875613541932746,-0.21103264383777104,0.12295489698784651,0.10251723470027913,-0.37328539673627426,0.2204004630281758,0.9703349895418537,-0.14609847544106588,0.3181427614833437,1.1216373616518869,-0.25370479585968625,0.29776854919133594,0.8097883931626605,-0.08047304450827697,0.06353275981732945,0.07113898171454931,-0.41024595395019875,0.18628701741664674,0.5274243637547259,-0.2676691498001581,0.09611804797067547,1.0347517593421491,-0.27247276206669047,0.2879399040592889,1.4588379129955638,-0.21145844779964987,0.17493420385306907,0.034492493419463005,-0.2593551260426467,0.3038416918750463,0.8949376837178697,-0.1202266453148888,0.31988395363211325,0.8828964929327449,-0.15699141384710913,-0.30227116644170654,0.16967167111656953,-0.1817841774100688,-0.09183940689774112,1.1415990350018757,-0.07292775169545977,-0.022049327508341657,0.8262554586552308,0.08205294620756257,-0.3227557261568382,0.13989724080417973,-0.24967237032976272,-0.14635344883944526,0.5716106691329497,-0.09612735246878902,0.003919947536348881,1.0496453600273852,-0.2156847621059641,0.009331243280467782,1.462780116458811,-0.06683815690397069,-0.22395687106459244,0.08862934788021283,-0.09055194154927215,-0.03599302803742069,0.9121360470006404,0.044857810866140574,-0.07167336468277359,0.9021344067114034,0.024215104757410122,0.1631516880558036,1.436763886377315,-0.11037120949391996
0.0898152,0.1093085092974148,1.4877126421102178,-0.21093409629699356,0.12312780941511449,0.10248749742919057,-0.37347783727272094,0.22052981508470376,0.9704018172907655,-0.14573711905831574,0.3182515743358247,1.1216707726050035,-0.2533408586377106,0.29727909306410466,0.8096457375321544,-0.0804227654324034,0.06382256821163158,0.07103236909803463,-0.4105050407049004,0.18569902071511896,0.5276701602658571,-0.2684915543367533,0.09627889276360242,1.034946548232891,-0.2720596532741916,0.2879583956700848,1.4588836274304182,-0.21152432992858922,0.1748651221347501,0.03461223692250641,-0.259315243442784,0.30356512884092496,0.8948614921133028,-0.12000895892165266,0.31984246788920656,0.8828821044671844,-0.15669365740776664,-0.30243596603151995,0.16966614582295675,-0.1819737276999262,-0.09162939510250423,1.1419772868986793,-0.07207530653027981,-0.022009859189098094,0.8257949878151718,0.08140152264536127,-0.3228842107311985,0.1397169292305189,-0.24978079048431256,-0.14668018830864685,0.5718199354871139,-0.09711964582685581,0.004061297383186111,1.0497974861684798,-0.21529198198885727,0.009478921104392184,1.4631198751118344,-0.06667043792385582,-0.22412377275567685,0.08888415633331888,-0.09048338708326298,-0.035883856734587674,0.9119354484621267,0.044759158313358284,-0.07176070492486611,0.9021734002941926,0.024342173521838307,0.1632401317504823,1.4369637284280725,-0.11027590839461611
