Frame#,Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
235,2.33531,-0.189495,0.872487,0.00303103,-0.185647,0.0949253,0.210983,-0.0601358,0.45816,0.183336,-0.525834,0.620702,0.264353,-0.624151,0.765677,0.0447501,-0.118261,0.0621931,0.149824,-0.40603,0.414164,0.280836,0.059682,0.468629,0.0587107,-0.283259,0.851602,0.177015,-0.355601,0.0671175,0.187227,-0.591399,0.67499,0.0381168,-0.659765,0.685452,0.0657845,-0.179655,0.0995215,-0.190265,-0.503395,0.61021,-0.257727,-0.631172,0.772339,-0.0474326,-0.116355,0.0588679,-0.115936,-0.37361,0.42377,-0.263063,0.05908,0.463985,0.00406153,-0.298643,0.83647,-0.157528,-0.342017,0.0636903,-0.177369,-0.591256,0.685847,-0.0371744,-0.658391,0.683844,-0.0675953,-0.321554,0.596421,0.0228442
236,2.34529,-0.189447,0.872239,0.00274432,-0.185665,0.0948884,0.211088,-0.0602612,0.457885,0.18325,-0.525728,0.620623,0.264039,-0.623834,0.765688,0.0444972,-0.118395,0.0620297,0.149872,-0.406185,0.414119,0.280801,0.0596357,0.468359,0.0586931,-0.283122,0.851491,0.176741,-0.35563,0.0671038,0.18719,-0.591235,0.675,0.0377617,-0.659573,0.685504,0.0654546,-0.179664,0.0995265,-0.190256,-0.503285,0.610025,-0.257952,-0.630838,0.772356,-0.0477185,-0.116356,0.0588755,-0.115936,-0.373598,0.423762,-0.263142,0.0590835,0.463742,0.00405746,-0.29852,0.836287,-0.157778,-0.342014,0.0636815,-0.177378,-0.59106,0.685918,-0.0373819,-0.658182,0.683887,-0.0678441,-0.321522,0.596325,0.0226823
237,2.35527,-0.189416,0.871953,0.00247632,-0.185703,0.0948515,0.211212,-0.06042,0.457562,0.183138,-0.525679,0.620584,0.263754,-0.623538,0.765692,0.0442041,-0.118786,0.0616086,0.149917,-0.406361,0.414076,0.280777,0.0595834,0.468085,0.0586882,-0.282989,0.851372,0.176483,-0.355672,0.0670822,0.187142,-0.591096,0.675026,0.0373997,-0.659406,0.685572,0.0651178,-0.17966,0.0995281,-0.190243,-0.503146,0.609849,-0.258188,-0.630523,0.772362,-0.0480292,-0.116358,0.0588873,-0.115932,-0.373589,0.423753,-0.263216,0.0590648,0.463483,0.00403888,-0.298384,0.836115,-0.15801,-0.342008,0.0636694,-0.177379,-0.590842,0.685987,-0.0375958,-0.657952,0.68393,-0.0680993,-0.321515,0.596251,0.0225154
238,2.36525,-0.189161,0.871816,0.00229179,-0.185752,0.0948103,0.211339,-0.060569,0.457197,0.183018,-0.525688,0.62058,0.263486,-0.623256,0.765694,0.0438825,-0.118918,0.0614429,0.149965,-0.406525,0.414005,0.280756,0.0595107,0.467808,0.0586794,-0.282863,0.851233,0.176249,-0.355712,0.0670515,0.187101,-0.590979,0.675059,0.0370189,-0.659262,0.685647,0.0647622,-0.179661,0.0995197,-0.190238,-0.502963,0.609694,-0.258439,-0.630197,0.772358,-0.0483821,-0.116363,0.0588995,-0.115931,-0.373585,0.423746,-0.263305,0.0590295,0.463208,0.00400913,-0.298211,0.835942,-0.158219,-0.341999,0.0636487,-0.177384,-0.590628,0.686038,-0.0378547,-0.657725,0.683954,-0.0683995,-0.321499,0.596176,0.0223318
239,2.37523,-0.188907,0.871662,0.00215846,-0.185793,0.0947817,0.211441,-0.0606694,0.45683,0.182909,-0.525747,0.620598,0.263223,-0.622978,0.765693,0.0435376,-0.118892,0.0614313,0.150012,-0.406628,0.413917,0.280745,0.0594202,0.467529,0.0586459,-0.282757,0.851069,0.176042,-0.355738,0.0669949,0.187058,-0.590857,0.675105,0.0366025,-0.659113,0.685736,0.064371,-0.179676,0.0995295,-0.190263,-0.50273,0.609556,-0.258694,-0.629859,0.77234,-0.0487607,-0.11636,0.0589201,-0.115931,-0.373585,0.423746,-0.263413,0.0589848,0.462932,0.00397159,-0.298004,0.835778,-0.158409,-0.34199,0.063632,-0.1774,-0.590425,0.686076,-0.0381568,-0.65751,0.683966,-0.068743,-0.321478,0.596087,0.0221319
240,2.38521,-0.188742,0.87143,0.00205479,-0.185813,0.0947592,0.211501,-0.0607114,0.456476,0.182819,-0.52586,0.620626,0.262962,-0.622724,0.765728,0.0431589,-0.118847,0.0614356,0.150045,-0.406662,0.413838,0.280772,0.0593334,0.467218,0.0585797,-0.282681,0.850872,0.175859,-0.355747,0.0669452,0.187028,-0.59076,0.675154,0.0361637,-0.658989,0.685827,0.0639573,-0.179706,0.0995366,-0.190274,-0.502466,0.609432,-0.25897,-0.629528,0.772316,-0.0491592,-0.116376,0.0589466,-0.115933,-0.373614,0.423756,-0.263546,0.0589298,0.46265,0.00391943,-0.297765,0.835624,-0.158582,-0.341991,0.0636179,-0.177427,-0.590216,0.686114,-0.0385109,-0.657289,0.683977,-0.0691384,-0.321459,0.59595,0.0219129
241,2.39519,-0.18861,0.871143,0.00195137,-0.185807,0.0947335,0.21154,-0.0607015,0.456127,0.182745,-0.526026,0.620645,0.262703,-0.622509,0.76579,0.0427559,-0.118826,0.0614294,0.150064,-0.406606,0.413821,0.280829,0.0592612,0.466866,0.0584899,-0.282631,0.850629,0.175705,-0.355749,0.066931,0.18701,-0.59074,0.675199,0.0357612,-0.658937,0.685913,0.0635794,-0.179714,0.0994278,-0.190186,-0.50219,0.609323,-0.259266,-0.629203,0.772289,-0.0495897,-0.116416,0.0589592,-0.11592,-0.373644,0.423759,-0.263697,0.0588576,0.462367,0.0038477,-0.297504,0.835453,-0.158737,-0.34201,0.0635946,-0.17745,-0.590004,0.686152,-0.0389005,-0.657064,0.683988,-0.0695694,-0.32143,0.595777,0.0216555
242,2.40517,-0.188474,0.870844,0.00187689,-0.185782,0.0947191,0.211601,-0.0606382,0.455763,0.182675,-0.526241,0.620635,0.262436,-0.622325,0.765849,0.0423369,-0.118827,0.0614111,0.150073,-0.406442,0.413901,0.280902,0.0592195,0.466481,0.0583725,-0.282595,0.850344,0.17557,-0.35575,0.0669429,0.187011,-0.590748,0.675253,0.0353525,-0.658909,0.686006,0.0631961,-0.179678,0.0991609,-0.189985,-0.501919,0.609223,-0.259586,-0.628884,0.772269,-0.0500465,-0.116458,0.0589843,-0.115898,-0.373659,0.423735,-0.263862,0.0587925,0.462065,0.00375741,-0.297238,0.835272,-0.158891,-0.342031,0.0635678,-0.177477,-0.589813,0.686193,-0.0393255,-0.656861,0.684002,-0.0700357,-0.321411,0.595576,0.0213927
243,2.41515,-0.188323,0.870556,0.00182661,-0.185777,0.094703,0.211655,-0.0605335,0.455401,0.182585,-0.526491,0.620602,0.262176,-0.622143,0.765881,0.0419127,-0.118805,0.0614147,0.15009,-0.40622,0.414036,0.280971,0.0592076,0.466102,0.0582309,-0.282578,0.850041,0.175462,-0.355758,0.0669539,0.187019,-0.590739,0.6753,0.0349199,-0.65888,0.686098,0.0627916,-0.179662,0.0990496,-0.189909,-0.501647,0.609141,-0.259925,-0.628584,0.772263,-0.0504998,-0.116479,0.058989,-0.115877,-0.373699,0.423676,-0.264029,0.0587415,0.461732,0.00362885,-0.296977,0.835089,-0.15903,-0.342037,0.0635405,-0.177503,-0.589641,0.686253,-0.0397699,-0.656676,0.684035,-0.0705214,-0.321388,0.595358,0.0211429
244,2.42513,-0.188169,0.870273,0.00180092,-0.185757,0.0946758,0.21169,-0.0603985,0.455081,0.18245,-0.526766,0.620531,0.261892,-0.62196,0.765884,0.0414844,-0.118774,0.0614224,0.150106,-0.406005,0.414153,0.28104,0.0592438,0.465744,0.0580244,-0.282578,0.849726,0.175373,-0.355768,0.0669683,0.187019,-0.590696,0.675317,0.0344775,-0.658867,0.686181,0.062376,-0.179687,0.0990551,-0.1899,-0.50137,0.609082,-0.260294,-0.628294,0.772275,-0.050955,-0.116505,0.05898,-0.115856,-0.37378,0.423599,-0.264166,0.0587139,0.461363,0.00343985,-0.296734,0.834891,-0.159162,-0.342037,0.0635229,-0.17751,-0.589491,0.686321,-0.0402429,-0.656513,0.684077,-0.0710357,-0.321349,0.595128,0.0209008
