Frame#,Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RASI_X,RASI_Y,RASI_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
1,0.0,0.00384753,1.46656,0.0665264,0.047697,0.0930988,0.121132,-0.0914782,0.986433,0.206825,-0.160298,1.11598,0.3306,-0.361326,1.12988,0.0757638,0.117613,0.0645166,0.0622353,-0.0572259,0.469727,0.170531,0.051005,1.00413,0.0791398,-0.0716634,1.44357,0.228063,-0.123691,0.0642461,0.0690443,-0.262011,1.13791,0.115036,-0.299875,1.08261,0.140429,-0.0187475,0.173105,-0.108114,-0.0852088,0.994786,-0.108482,0.0734953,1.15404,-0.227254,-0.0792446,0.856853,-0.292695,0.0531424,0.167172,-0.0300674,-0.24303,0.525054,-0.131133,0.0540311,0.99769,0.0158418,-0.0452029,1.45373,-0.114387,-0.153112,0.0720281,-0.0889235,-0.0549781,0.938929,-0.216552,-0.00294867,0.910463,-0.260466,-0.185445,1.22597,0.0484572
2,0.00999209,0.00440657,1.46585,0.0673158,0.056485,0.0932098,0.121191,-0.0907982,0.985602,0.207185,-0.164091,1.11634,0.330797,-0.361691,1.13158,0.0729374,0.12631,0.0645967,0.0623161,-0.051305,0.469285,0.170548,0.0520183,1.00369,0.0798136,-0.0723741,1.44315,0.2284,-0.114626,0.0646291,0.0690676,-0.262942,1.13838,0.113735,-0.301977,1.084,0.139125,-0.0359015,0.164724,-0.107773,-0.0838657,0.994231,-0.108105,0.0773178,1.15348,-0.226384,-0.0712324,0.855553,-0.296592,0.0357386,0.154673,-0.0301776,-0.24501,0.52593,-0.128782,0.0551788,0.99724,0.0164047,-0.0432472,1.45247,-0.113964,-0.174688,0.0702433,-0.0875367,-0.0494722,0.937273,-0.219379,0.00361752,0.90935,-0.262387,-0.184598,1.22527,0.0478748
3,0.0199842,0.00495158,1.46506,0.0679988,0.0652125,0.0933403,0.121254,-0.0902052,0.984679,0.207543,-0.167487,1.11656,0.330918,-0.362014,1.13292,0.0702985,0.135049,0.064814,0.0623783,-0.0455421,0.468825,0.170542,0.0529568,1.00329,0.0804616,-0.0731108,1.44267,0.228652,-0.10577,0.0647056,0.0691074,-0.263737,1.13848,0.112526,-0.303954,1.08505,0.137965,-0.0535428,0.15656,-0.107434,-0.0825901,0.993605,-0.10776,0.0810611,1.15275,-0.225474,-0.0635969,0.853992,-0.300447,0.018157,0.14293,-0.0304047,-0.246454,0.526543,-0.126317,0.0562717,0.996809,0.0170024,-0.0414007,1.45116,-0.11367,-0.19634,0.0685535,-0.0862644,-0.04405,0.935567,-0.222232,0.0100096,0.908138,-0.264012,-0.183807,1.22436,0.0470382
4,0.0299763,0.00544673,1.46421,0.0685397,0.0739394,0.0934761,0.121325,-0.0897272,0.983675,0.207913,-0.1705,1.11665,0.330937,-0.362151,1.13381,0.0678153,0.143863,0.0650841,0.0624658,-0.0399496,0.468344,0.170525,0.053753,1.00292,0.0810592,-0.0738465,1.44212,0.228793,-0.0969559,0.0646944,0.0691351,-0.264394,1.1382,0.111396,-0.305789,1.08587,0.137026,-0.0716491,0.148701,-0.107036,-0.0813694,0.992901,-0.107437,0.0846192,1.1519,-0.224623,-0.0562986,0.852177,-0.304085,8.31434e-05,0.131601,-0.0307293,-0.247314,0.526915,-0.123725,0.0572681,0.996372,0.0175773,-0.0395988,1.44975,-0.113449,-0.218089,0.0671045,-0.0849759,-0.0389128,0.933679,-0.225177,0.0161753,0.90681,-0.265412,-0.183058,1.22327,0.0460245
5,0.0399684,0.00590192,1.46331,0.0689661,0.0827109,0.093631,0.121432,-0.0893641,0.982622,0.208265,-0.173151,1.11662,0.330845,-0.362138,1.13422,0.0654644,0.152728,0.0653438,0.062573,-0.0345026,0.467846,0.170503,0.0544828,1.00256,0.0816219,-0.0744035,1.4414,0.228779,-0.0880872,0.0646982,0.0691364,-0.264944,1.13752,0.11032,-0.307422,1.08633,0.136138,-0.0901336,0.141248,-0.106623,-0.0802438,0.992109,-0.107136,0.0879311,1.15093,-0.223873,-0.0488202,0.85027,-0.307224,-0.0185564,0.120645,-0.0310893,-0.247588,0.527036,-0.12101,0.0581703,0.995933,0.0181047,-0.0378911,1.44829,-0.113283,-0.239978,0.0662221,-0.0833659,-0.0339029,0.931752,-0.227814,0.0221371,0.905412,-0.266752,-0.182324,1.22213,0.0448703
6,0.0499604,0.00633656,1.46234,0.0692593,0.0915326,0.0938522,0.121531,-0.0889889,0.981568,0.208476,-0.175438,1.11649,0.330651,-0.362062,1.13415,0.0633101,0.161662,0.0656689,0.062684,-0.0291802,0.467339,0.170455,0.0550944,1.00214,0.0821262,-0.0749391,1.44068,0.228682,-0.0791617,0.0647321,0.0691143,-0.26533,1.13642,0.10923,-0.308885,1.08641,0.135337,-0.108948,0.134264,-0.106195,-0.0792316,0.991256,-0.106873,0.0909793,1.14988,-0.223209,-0.0412436,0.848262,-0.309912,-0.0376746,0.110209,-0.0313829,-0.247498,0.526871,-0.118283,0.0589775,0.995459,0.0185886,-0.0363009,1.4468,-0.113214,-0.261943,0.0660086,-0.0814582,-0.0293795,0.929735,-0.230262,0.0278384,0.903927,-0.267968,-0.181838,1.22099,0.0439435
7,0.0599525,0.00669919,1.46134,0.069421,0.100454,0.0941553,0.121554,-0.088741,0.98046,0.208698,-0.177329,1.11623,0.330405,-0.361938,1.13361,0.0613425,0.170638,0.066077,0.0627975,-0.0239683,0.466812,0.17042,0.0555787,1.00164,0.0825892,-0.075489,1.43996,0.228517,-0.0702701,0.064665,0.0690818,-0.265507,1.13494,0.107924,-0.310221,1.08611,0.134696,-0.128035,0.12786,-0.105538,-0.0782916,0.990331,-0.106651,0.0938041,1.14872,-0.222631,-0.0340765,0.846069,-0.312432,-0.0573131,0.100451,-0.0315585,-0.246817,0.526296,-0.115544,0.0596982,0.994952,0.0190285,-0.0348018,1.44525,-0.113221,-0.283869,0.0663861,-0.0793334,-0.0250165,0.927734,-0.23252,0.0332366,0.902356,-0.269016,-0.181422,1.21997,0.0430206
8,0.0699446,0.00698314,1.46028,0.0694475,0.109335,0.0944705,0.121691,-0.0885404,0.979325,0.20883,-0.178856,1.11582,0.330107,-0.36176,1.13254,0.059531,0.179519,0.0664376,0.062959,-0.0188146,0.466275,0.170484,0.0560232,1.00107,0.0830174,-0.0759561,1.43913,0.228244,-0.0613386,0.0646176,0.0691163,-0.265705,1.13316,0.10678,-0.31139,1.08545,0.13421,-0.147369,0.122146,-0.104624,-0.0774653,0.989305,-0.106483,0.0963805,1.14746,-0.222133,-0.0273454,0.843675,-0.314711,-0.0775349,0.0914926,-0.031552,-0.245547,0.525309,-0.112831,0.0603267,0.994425,0.0194754,-0.0333913,1.44366,-0.1133,-0.305569,0.0671168,-0.0772663,-0.020808,0.925731,-0.234638,0.03833,0.900693,-0.269911,-0.180908,1.21884,0.0422599
9,0.0799367,0.0071979,1.45919,0.0693599,0.11817,0.0948061,0.121939,-0.0884785,0.978152,0.208987,-0.179993,1.11526,0.329752,-0.361537,1.13091,0.0578942,0.188399,0.0668948,0.0631883,-0.0136863,0.465785,0.170646,0.0563914,1.00047,0.0834108,-0.0764838,1.43828,0.227881,-0.0523912,0.0646142,0.0692079,-0.265894,1.13102,0.105851,-0.312366,1.08442,0.133864,-0.166918,0.117159,-0.103807,-0.0767553,0.988195,-0.106377,0.0987285,1.14607,-0.221722,-0.0209593,0.841112,-0.316673,-0.0979567,0.0836816,-0.0312291,-0.243833,0.523953,-0.110166,0.0608315,0.993855,0.0198665,-0.0321985,1.44206,-0.113527,-0.327024,0.0681493,-0.0751886,-0.0170186,0.923631,-0.23675,0.0431835,0.898958,-0.270722,-0.180577,1.21782,0.0416936
10,0.0899288,0.007364,1.45805,0.069171,0.126944,0.0951642,0.122242,-0.0884295,0.976955,0.208972,-0.180772,1.11455,0.32939,-0.361339,1.12871,0.0564541,0.197321,0.0675005,0.0634531,-0.00848244,0.46537,0.170777,0.0566348,0.999837,0.0837344,-0.077006,1.43738,0.227393,-0.0434353,0.064612,0.0693009,-0.266001,1.12852,0.104985,-0.313177,1.083,0.133664,-0.186641,0.113088,-0.103165,-0.0761902,0.987004,-0.106361,0.100799,1.14457,-0.221392,-0.0148746,0.83838,-0.318349,-0.118391,0.0770852,-0.0305861,-0.241804,0.522288,-0.107557,0.0611733,0.993239,0.0201677,-0.0311926,1.44046,-0.113886,-0.348297,0.069814,-0.0728713,-0.0135234,0.921531,-0.238749,0.047752,0.897128,-0.271494,-0.180307,1.21678,0.0412441
