Frame#,Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RASI_X,RASI_Y,RASI_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
11,0.0999069,-0.0409243,1.46317,0.00159035,-0.0560597,0.0943395,0.183578,-0.15777,0.996907,0.163455,-0.0478692,1.43797,0.438746,-0.059032,1.44783,0.727224,0.02101,0.0618429,0.137387,-0.122816,0.479951,0.172761,-0.0222053,1.01776,0.0354266,-0.0782018,1.49279,0.119411,-0.218379,0.0651377,0.116235,-0.113431,1.39016,0.6825,-0.0404081,1.38486,0.676387,-0.0380321,0.100406,-0.15824,-0.156516,0.989996,-0.151595,-0.0775192,1.46033,-0.424877,-0.0981959,1.51681,-0.715462,0.0204338,0.0609378,-0.0776299,-0.107861,0.495693,-0.151586,-0.0210605,1.01444,-0.0254619,-0.0840051,1.49036,-0.120727,-0.204948,0.0620362,-0.156012,-0.142464,1.43518,-0.679449,-0.069642,1.44725,-0.678368,-0.27711,1.26811,0.0105448
12,0.109898,-0.0408266,1.46313,0.00160571,-0.0560589,0.0943415,0.183586,-0.157801,0.996912,0.163474,-0.0480139,1.43788,0.438794,-0.0593016,1.44768,0.727273,0.0209749,0.0617546,0.137346,-0.122823,0.479947,0.172775,-0.0222074,1.01774,0.0354869,-0.0780608,1.4928,0.119441,-0.218381,0.0651275,0.116232,-0.113762,1.39006,0.68248,-0.040681,1.38472,0.67642,-0.0380124,0.100387,-0.158229,-0.156488,0.989998,-0.151579,-0.0774755,1.4603,-0.424856,-0.0982178,1.5168,-0.715445,0.0204238,0.0609385,-0.0776292,-0.107851,0.495689,-0.151563,-0.0210592,1.01443,-0.0254019,-0.0838867,1.49036,-0.120702,-0.204948,0.0620329,-0.156009,-0.142509,1.43522,-0.679402,-0.0697326,1.44723,-0.678345,-0.27683,1.26814,0.0105117
13,0.119888,-0.0407225,1.4631,0.00162568,-0.056068,0.0943444,0.183577,-0.157822,0.996909,0.16349,-0.0481556,1.43781,0.438844,-0.0596031,1.44753,0.727331,0.0209665,0.0617326,0.13733,-0.12282,0.479951,0.172776,-0.0222039,1.01774,0.0355303,-0.0778914,1.49283,0.119469,-0.218386,0.0651258,0.116227,-0.114061,1.38997,0.682471,-0.0409649,1.3846,0.676457,-0.0380045,0.100376,-0.158238,-0.156459,0.99,-0.15156,-0.0774266,1.46028,-0.424835,-0.0982018,1.51681,-0.715426,0.0204197,0.0609343,-0.0776388,-0.107857,0.495688,-0.151543,-0.0210605,1.01443,-0.0253541,-0.0837445,1.49036,-0.120675,-0.204946,0.0620303,-0.156004,-0.142545,1.43525,-0.679361,-0.0697621,1.44721,-0.678313,-0.276931,1.26817,0.010506
14,0.129879,-0.0406193,1.46306,0.00165222,-0.0560741,0.0943426,0.183564,-0.157838,0.996913,0.163509,-0.0482859,1.43775,0.438891,-0.0599287,1.44741,0.727385,0.0209885,0.061786,0.137345,-0.122822,0.479956,0.172782,-0.0222112,1.01773,0.0355573,-0.0778335,1.4928,0.119459,-0.218388,0.0651395,0.116222,-0.11435,1.3899,0.682469,-0.0412532,1.38449,0.676501,-0.0379884,0.100377,-0.158243,-0.156435,0.990002,-0.151545,-0.0773653,1.46028,-0.424808,-0.0981488,1.51683,-0.715408,0.0204144,0.0609254,-0.0776474,-0.107864,0.495685,-0.151541,-0.0210534,1.01443,-0.0253167,-0.0835815,1.49035,-0.120649,-0.204935,0.0620172,-0.156,-0.142566,1.43531,-0.679328,-0.069715,1.44726,-0.678278,-0.277005,1.2682,0.0105025
15,0.13987,-0.0405109,1.46302,0.00168636,-0.0560759,0.0943364,0.183566,-0.157849,0.996916,0.163524,-0.0484057,1.4377,0.438944,-0.0602565,1.44734,0.727421,0.0210131,0.0618359,0.137377,-0.122827,0.479953,0.172787,-0.0222158,1.01773,0.035576,-0.0776461,1.49282,0.119481,-0.21839,0.0651424,0.116224,-0.114632,1.38983,0.682458,-0.0415826,1.38441,0.676565,-0.0379679,0.100365,-0.15823,-0.156423,0.990003,-0.151531,-0.0772931,1.46028,-0.424777,-0.0980757,1.51686,-0.71539,0.0204144,0.0609322,-0.0776468,-0.10787,0.495681,-0.151537,-0.0210452,1.01443,-0.0252884,-0.0834072,1.49034,-0.120607,-0.204925,0.0620043,-0.155996,-0.142587,1.43538,-0.679289,-0.069673,1.44731,-0.678261,-0.276872,1.26823,0.0104898
16,0.14986,-0.0403792,1.46298,0.00172341,-0.0560768,0.0943354,0.183574,-0.157851,0.996918,0.163534,-0.0485186,1.43764,0.439003,-0.0606126,1.4473,0.727454,0.0209844,0.0617763,0.137353,-0.122832,0.479949,0.172787,-0.0222091,1.01774,0.0355901,-0.0774716,1.49282,0.119508,-0.218385,0.0651352,0.116232,-0.114934,1.38977,0.682444,-0.0419307,1.38435,0.676639,-0.0379838,0.100382,-0.158239,-0.15641,0.990007,-0.15152,-0.0772157,1.46027,-0.424749,-0.0980131,1.51689,-0.715363,0.0204188,0.0609396,-0.0776386,-0.107878,0.49567,-0.151526,-0.0210263,1.01443,-0.0252718,-0.0832467,1.49033,-0.120559,-0.204922,0.0620018,-0.155983,-0.142605,1.43545,-0.679239,-0.0696684,1.44735,-0.678258,-0.276534,1.26827,0.0104683
17,0.159851,-0.0402558,1.46295,0.00175761,-0.0560728,0.0943403,0.183586,-0.157842,0.996919,0.163542,-0.04863,1.43759,0.439068,-0.0610046,1.44727,0.727504,0.0209765,0.0617657,0.137352,-0.122842,0.479942,0.172788,-0.0221972,1.01774,0.035592,-0.0773417,1.4928,0.119529,-0.218383,0.0651297,0.116238,-0.11525,1.38973,0.682423,-0.0422628,1.38431,0.676712,-0.0380854,0.100505,-0.158294,-0.156395,0.990013,-0.151506,-0.077128,1.46026,-0.424708,-0.0979629,1.51692,-0.715313,0.0204226,0.0609491,-0.0776332,-0.107888,0.495656,-0.151519,-0.0210102,1.01443,-0.025264,-0.0831035,1.49033,-0.120512,-0.204926,0.062,-0.155968,-0.142595,1.4355,-0.679197,-0.0696625,1.44736,-0.678251,-0.276361,1.2683,0.010465
18,0.169842,-0.0401495,1.46292,0.00179527,-0.0560728,0.0943392,0.183587,-0.157821,0.996921,0.163546,-0.0487437,1.43754,0.43913,-0.0613735,1.44724,0.727555,0.0209979,0.0618105,0.137378,-0.122856,0.47993,0.172789,-0.0221822,1.01773,0.0355914,-0.0772262,1.49278,0.119555,-0.218394,0.0651295,0.116237,-0.115598,1.3897,0.682414,-0.042587,1.38428,0.676772,-0.0382065,0.100695,-0.158371,-0.156391,0.990018,-0.151494,-0.077025,1.46025,-0.424672,-0.0979107,1.51694,-0.715251,0.02042,0.0609507,-0.0776259,-0.107884,0.495657,-0.151515,-0.0210037,1.01443,-0.0252641,-0.0829598,1.49033,-0.120462,-0.204941,0.0619873,-0.155969,-0.14258,1.43553,-0.679152,-0.069659,1.44735,-0.67825,-0.27631,1.26833,0.0104629
19,0.179832,-0.0400438,1.46289,0.00183746,-0.0560728,0.0943375,0.183579,-0.157793,0.996916,0.163549,-0.0488644,1.4375,0.439183,-0.0617117,1.44724,0.727607,0.0209837,0.061768,0.137346,-0.122862,0.479928,0.172789,-0.022153,1.01773,0.0355865,-0.0771084,1.49277,0.119576,-0.218403,0.065132,0.116227,-0.115918,1.3897,0.682417,-0.0428945,1.38428,0.676817,-0.0380822,0.100518,-0.158287,-0.156392,0.990021,-0.151487,-0.0769157,1.46023,-0.424648,-0.0978547,1.51694,-0.715197,0.0204279,0.0609422,-0.0776228,-0.107882,0.495654,-0.151503,-0.0209948,1.01443,-0.0252697,-0.0828157,1.49033,-0.120409,-0.204945,0.0619765,-0.155962,-0.142548,1.43555,-0.679105,-0.0696402,1.44734,-0.678233,-0.276267,1.26835,0.0104515
20,0.189823,-0.0399382,1.46287,0.00187014,-0.0560658,0.0943409,0.183568,-0.15776,0.996911,0.163555,-0.0489864,1.43747,0.439222,-0.06206,1.44725,0.727683,0.0209655,0.0617455,0.137311,-0.122859,0.479925,0.172784,-0.0221218,1.01772,0.0355722,-0.0769925,1.49277,0.11959,-0.218402,0.0651306,0.116227,-0.116212,1.38974,0.68243,-0.0431728,1.38429,0.676848,-0.0380042,0.1004,-0.158222,-0.156398,0.990012,-0.151485,-0.0768023,1.4602,-0.424619,-0.0978003,1.51695,-0.715152,0.0204285,0.0609381,-0.0776185,-0.107884,0.495651,-0.15149,-0.0209783,1.01442,-0.0252834,-0.0826773,1.49033,-0.120351,-0.204942,0.0619718,-0.155959,-0.14249,1.43555,-0.679059,-0.0695469,1.44735,-0.678182,-0.276209,1.26837,0.0104422
