Frame#,Time,C7_X,C7_Y,C7_Z,LANK_X,LANK_Y,LANK_Z,LASI_X,LASI_Y,LASI_Z,LELB_X,LELB_Y,LELB_Z,LFIN_X,LFIN_Y,LFIN_Z,LHEE_X,LHEE_Y,LHEE_Z,LKNE_X,LKNE_Y,LKNE_Z,LPSI_X,LPSI_Y,LPSI_Z,LSHO_X,LSHO_Y,LSHO_Z,LTOE_X,LTOE_Y,LTOE_Z,LWRA_X,LWRA_Y,LWRA_Z,LWRB_X,LWRB_Y,LWRB_Z,RANK_X,RANK_Y,RANK_Z,RASI_X,RASI_Y,RASI_Z,RELB_X,RELB_Y,RELB_Z,RFIN_X,RFIN_Y,RFIN_Z,RHEE_X,RHEE_Y,RHEE_Z,RKNE_X,RKNE_Y,RKNE_Z,RPSI_X,RPSI_Y,RPSI_Z,RSHO_X,RSHO_Y,RSHO_Z,RTOE_X,RTOE_Y,RTOE_Z,RWRA_X,RWRA_Y,RWRA_Z,RWRB_X,RWRB_Y,RWRB_Z,STRN_X,STRN_Y,STRN_Z
11,0.0999071,-0.208449,1.43681,0.023947,0.0410351,0.144004,0.158965,-0.303858,0.967422,0.193003,-0.405852,1.08833,0.293923,-0.595849,0.816001,0.261237,0.122651,0.141777,0.100086,-0.222629,0.453751,0.193304,-0.173497,0.980633,0.0539319,-0.307769,1.42648,0.186663,-0.0822894,0.0614716,0.0968712,-0.541963,0.892103,0.215918,-0.51151,0.86522,0.276229,-0.459324,0.0945501,-0.0959652,-0.322984,0.971408,-0.122471,-0.227169,1.06734,-0.242763,-0.27842,0.724322,-0.27503,-0.385183,0.0577925,-0.0341559,-0.466912,0.501234,-0.106355,-0.173843,0.974152,-0.00947285,-0.262443,1.41035,-0.157856,-0.622894,0.0629764,-0.0417161,-0.290273,0.820672,-0.215474,-0.234473,0.810928,-0.261706,-0.412884,1.20365,0.0125182
12,0.109898,-0.209264,1.43779,0.0210742,0.0404172,0.150089,0.159195,-0.304995,0.968483,0.190699,-0.402021,1.0884,0.291306,-0.583628,0.809841,0.262509,0.121675,0.152458,0.0997129,-0.230787,0.453485,0.195454,-0.175239,0.981365,0.0513792,-0.307308,1.42766,0.18456,-0.0756947,0.0612143,0.0971757,-0.533072,0.887525,0.216013,-0.500982,0.86237,0.276083,-0.451878,0.0945024,-0.0957564,-0.325658,0.972258,-0.124679,-0.233087,1.06763,-0.24459,-0.288999,0.725177,-0.274616,-0.377454,0.0579718,-0.0340154,-0.467007,0.50116,-0.107191,-0.17609,0.974983,-0.012062,-0.264754,1.4114,-0.160361,-0.615552,0.0624151,-0.0416939,-0.299136,0.821986,-0.215509,-0.243879,0.811191,-0.262096,-0.414727,1.20513,0.0108762
13,0.119889,-0.210114,1.43884,0.018126,0.0387616,0.156659,0.159395,-0.305953,0.969618,0.188286,-0.39783,1.08855,0.288757,-0.570784,0.804004,0.263928,0.119283,0.164091,0.099347,-0.239689,0.453139,0.197678,-0.176697,0.982087,0.0489308,-0.306739,1.42889,0.182476,-0.0699266,0.0612853,0.0975614,-0.52382,0.883215,0.216232,-0.490073,0.859605,0.275874,-0.444308,0.094456,-0.0955764,-0.327818,0.973231,-0.126872,-0.239271,1.06816,-0.246488,-0.299784,0.726295,-0.274055,-0.369802,0.0579684,-0.0341095,-0.466126,0.500959,-0.108242,-0.177952,0.975749,-0.014465,-0.267121,1.41255,-0.1628,-0.608085,0.061974,-0.0417337,-0.30818,0.823553,-0.215465,-0.253449,0.811731,-0.262401,-0.41651,1.20672,0.00936152
14,0.129879,-0.210979,1.43993,0.0151484,0.0362379,0.163715,0.159558,-0.306698,0.970811,0.185764,-0.393337,1.08878,0.286175,-0.557414,0.798515,0.26547,0.115708,0.176519,0.0989869,-0.249413,0.452801,0.19979,-0.177951,0.982709,0.0465813,-0.306115,1.4302,0.180382,-0.0652978,0.0618651,0.09798,-0.514201,0.879206,0.216537,-0.478815,0.857003,0.27598,-0.436696,0.0944471,-0.0954092,-0.32967,0.974089,-0.129126,-0.245719,1.06891,-0.248411,-0.31075,0.727711,-0.273345,-0.362004,0.0580585,-0.0339769,-0.464156,0.5006,-0.109532,-0.17945,0.976435,-0.0167074,-0.269668,1.41384,-0.165225,-0.600469,0.0615946,-0.0416765,-0.317338,0.825377,-0.215348,-0.263377,0.812517,-0.262635,-0.418203,1.20843,0.00799051
15,0.13987,-0.211762,1.44102,0.0122002,0.0331142,0.171312,0.159681,-0.307146,0.971962,0.183408,-0.388551,1.08904,0.283532,-0.543645,0.7934,0.267119,0.111011,0.189573,0.0985352,-0.259854,0.452577,0.201733,-0.17886,0.983191,0.0443068,-0.305441,1.43152,0.178269,-0.0621112,0.0632357,0.0984109,-0.504274,0.875488,0.216919,-0.467129,0.854831,0.27593,-0.429016,0.0943918,-0.0952637,-0.331143,0.975125,-0.131214,-0.252381,1.06982,-0.250346,-0.322036,0.729374,-0.272604,-0.354339,0.0579577,-0.0339711,-0.461136,0.499981,-0.110891,-0.180576,0.977013,-0.0188567,-0.272427,1.41525,-0.167641,-0.592814,0.0613074,-0.0416581,-0.326575,0.827414,-0.215176,-0.273543,0.813538,-0.262894,-0.419786,1.21019,0.00674839
16,0.149861,-0.21244,1.44211,0.0092565,0.0293819,0.179503,0.159636,-0.307239,0.97302,0.181319,-0.38347,1.08928,0.280883,-0.529462,0.788797,0.268744,0.105142,0.203016,0.0978539,-0.270742,0.452395,0.203234,-0.179352,0.983538,0.0421579,-0.304644,1.43282,0.176166,-0.0606127,0.0654808,0.0987853,-0.494012,0.872068,0.217365,-0.455081,0.852975,0.275689,-0.421296,0.0943086,-0.0951857,-0.332432,0.976306,-0.133109,-0.259209,1.07085,-0.252327,-0.333652,0.731199,-0.271841,-0.346785,0.0578719,-0.0339203,-0.457356,0.499198,-0.112116,-0.181352,0.977485,-0.0209183,-0.275353,1.41675,-0.170019,-0.585128,0.0611129,-0.0417058,-0.335946,0.829598,-0.214923,-0.283914,0.814764,-0.263362,-0.421253,1.21187,0.00562071
17,0.159851,-0.21301,1.44319,0.00635734,0.0250278,0.188396,0.15922,-0.306958,0.973992,0.179378,-0.378121,1.08949,0.278287,-0.514929,0.78467,0.270314,0.0982659,0.217,0.0969301,-0.281953,0.45229,0.204229,-0.179446,0.983742,0.040151,-0.303715,1.43408,0.174124,-0.0609679,0.0682271,0.0991305,-0.483296,0.868967,0.217873,-0.442845,0.851494,0.275455,-0.413514,0.0942178,-0.0952425,-0.33391,0.977255,-0.134978,-0.266137,1.07199,-0.254308,-0.345381,0.733168,-0.270967,-0.338911,0.0579363,-0.0339364,-0.453172,0.498448,-0.113197,-0.182096,0.977884,-0.0229113,-0.278255,1.4182,-0.172253,-0.577381,0.0609746,-0.0417864,-0.345556,0.831936,-0.214553,-0.294515,0.816164,-0.264001,-0.4226,1.21336,0.00458729
18,0.169842,-0.213533,1.44431,0.0034663,0.0200761,0.197924,0.158307,-0.306464,0.974875,0.177493,-0.37244,1.08982,0.275923,-0.500165,0.781017,0.271817,0.0900848,0.231273,0.0956613,-0.293327,0.452441,0.204889,-0.179312,0.983784,0.0382759,-0.302651,1.4353,0.172178,-0.0629836,0.0706172,0.0995886,-0.472485,0.866144,0.218328,-0.430376,0.850308,0.275245,-0.405676,0.0941357,-0.0954252,-0.335025,0.978219,-0.136567,-0.273123,1.07316,-0.256286,-0.357404,0.735333,-0.270097,-0.33073,0.0581181,-0.0340575,-0.448841,0.497872,-0.114179,-0.182737,0.978284,-0.0248804,-0.281097,1.41957,-0.174328,-0.569564,0.0609025,-0.0418649,-0.355171,0.834395,-0.214165,-0.305491,0.817683,-0.264539,-0.42378,1.21467,0.00364346
19,0.179833,-0.214053,1.44549,0.000642149,0.0146848,0.207558,0.156882,-0.305793,0.975745,0.17588,-0.366549,1.09012,0.273648,-0.485272,0.777758,0.273127,0.0802038,0.245518,0.0942166,-0.30477,0.453063,0.205425,-0.178758,0.983763,0.0365172,-0.301435,1.43645,0.170374,-0.0661376,0.0719975,0.100262,-0.461579,0.863549,0.218745,-0.417733,0.849378,0.27509,-0.397738,0.0940889,-0.0956324,-0.335804,0.979246,-0.137937,-0.280167,1.07436,-0.258288,-0.369768,0.737701,-0.269201,-0.322607,0.0582348,-0.0343099,-0.444392,0.497482,-0.115037,-0.18306,0.978806,-0.0266641,-0.283897,1.42089,-0.176271,-0.561679,0.0609767,-0.0420381,-0.364788,0.836922,-0.213745,-0.316566,0.819325,-0.265022,-0.424763,1.21581,0.0027837
20,0.189824,-0.214583,1.44675,-0.00208986,0.00867388,0.216709,0.155119,-0.304567,0.976754,0.174784,-0.360464,1.09037,0.271492,-0.470346,0.774889,0.274239,0.0687812,0.258943,0.0926022,-0.316171,0.454321,0.205912,-0.178216,0.983716,0.0348605,-0.300094,1.43755,0.168707,-0.0694324,0.0726537,0.101242,-0.450535,0.861215,0.219127,-0.404949,0.84871,0.274882,-0.389723,0.0940259,-0.0958059,-0.336753,0.980102,-0.139482,-0.287235,1.07556,-0.260287,-0.382294,0.740243,-0.268187,-0.314496,0.0585235,-0.0342979,-0.439855,0.497198,-0.115779,-0.183103,0.979514,-0.028311,-0.286844,1.42222,-0.178163,-0.553621,0.0609449,-0.04222,-0.374433,0.839537,-0.213282,-0.327716,0.821094,-0.265488,-0.425552,1.21682,0.00203162
