Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,x39,x40,RASI
All Timesteps RMSE,0.0247127,0.0156378,0.0143974,0.0486734,0.0471363,0.0374306,0.0664785,0.0385651,0.0343932,0.0168789,0.0202588,0.022962,0.0234077,0.0182731,0.0109819,0.0225546,0.0252205,0.0350846,0.0374953,0.0117688,0.0292772,0.0493495,0.032699,0.0636589,0.0704468,0.0311509,0.0159335,0.0127229,0.0298337,0.0268189,0.0252609,0.0114373,0.0183852,0.0234076,0.0388786,0.0518911,0.0262185,0.0450784,0,0,0.0539413
0,0.0306706,0.00795499,0.0102077,0.0229724,0.0896067,0.0228985,0.137263,0.0191269,0.00251763,0.00416345,0.0202019,0.0178075,0.008297,0.0102494,0.00694003,0.00896035,0.0191902,0.017193,0.015368,0.00579608,0.0133999,0.0642391,0.0121949,0.0992546,0.0293124,0.00680107,0.00800787,0.0116703,0.0284223,0.0151258,0.00898155,0.0107964,0.00473837,0.00413452,0.0117824,0.00184872,0.0140261,0.0415445,0,0,0
1,0.0309664,0.00825022,0.0103269,0.022649,0.0899192,0.0213016,0.137465,0.0192809,0.00229571,0.00402664,0.0198429,0.0177923,0.00780974,0.0113037,0.00735309,0.00932975,0.0185967,0.017066,0.0143336,0.00555014,0.013863,0.0644248,0.0118663,0.0994954,0.0280081,0.00682449,0.00777777,0.0119247,0.0276843,0.015507,0.00938212,0.011153,0.00460484,0.0037494,0.0119905,0.00156784,0.0146374,0.0415011,0,0,0
2,0.0311851,0.00845145,0.0104119,0.0224099,0.0901366,0.0199065,0.137572,0.0194339,0.00261137,0.00387398,0.019617,0.017828,0.00741984,0.0124376,0.00757363,0.00971475,0.0181245,0.0170203,0.0139776,0.00558376,0.0142742,0.0644594,0.0118468,0.0996823,0.0271648,0.00676398,0.00788256,0.0120963,0.0270627,0.0158892,0.0097381,0.0114743,0.00448051,0.00336735,0.0118618,0.00177456,0.0151767,0.041436,0,0,0
3,0.0313437,0.00857917,0.0104355,0.0222908,0.0902915,0.0187136,0.13762,0.01955,0.00316002,0.00374188,0.0195505,0.0178741,0.00714515,0.0134545,0.0077188,0.0101731,0.0177152,0.0169798,0.0135376,0.0056952,0.0146429,0.0644635,0.0119982,0.0998196,0.0266987,0.00665052,0.00777968,0.0123134,0.026576,0.0161304,0.0100555,0.0117826,0.00435549,0.00343428,0.0116118,0.00215968,0.0156406,0.041348,0,0,0
4,0.0314442,0.00861104,0.0103989,0.0222855,0.0903773,0.017752,0.137633,0.0196488,0.00371507,0.00356785,0.0196172,0.0179077,0.00699778,0.0142851,0.00759612,0.0108041,0.0173689,0.0169298,0.0132144,0.00580086,0.0149531,0.0645023,0.0122538,0.0999059,0.0265484,0.00645602,0.0077378,0.0125667,0.0262091,0.0162058,0.0103456,0.0120574,0.00422675,0.00358586,0.011342,0.00251321,0.0160326,0.041305,0,0,0
5,0.0314735,0.00855468,0.0103054,0.0223805,0.0904482,0.0170117,0.137626,0.0197308,0.00417297,0.00325131,0.0196895,0.0179275,0.0069775,0.0151202,0.00727565,0.01169,0.0170992,0.0168929,0.013034,0.00588344,0.0152045,0.0645061,0.0126063,0.0999628,0.0266857,0.00619497,0.00776052,0.0127965,0.0259718,0.0161603,0.0106092,0.012334,0.00410695,0.00377406,0.0110672,0.00278625,0.0163521,0.0412963,0,0,0
6,0.03148,0.00846259,0.0101395,0.0225009,0.090533,0.0164642,0.137606,0.0198166,0.00454994,0.00292162,0.0197851,0.0178866,0.00706406,0.015666,0.00708537,0.0127395,0.0168327,0.0169063,0.0129134,0.00592884,0.0153859,0.064414,0.0130093,0.100018,0.027077,0.00589233,0.00779789,0.0128708,0.0258176,0.0160623,0.0108063,0.0126393,0.00402123,0.00400953,0.0107465,0.00298807,0.0166014,0.0412515,0,0,0
7,0.0314922,0.00834855,0.00988626,0.0226657,0.0906389,0.0160764,0.1376,0.0198914,0.00484109,0.00256172,0.0198976,0.0178014,0.00720217,0.0157941,0.00698366,0.0136242,0.0166604,0.0169385,0.0128253,0.00595413,0.0155365,0.0642935,0.0134474,0.100109,0.0276964,0.00560052,0.00784331,0.0129235,0.0257293,0.0159142,0.0108535,0.0128069,0.00395252,0.00431256,0.0101897,0.00314353,0.0167748,0.0411548,0,0,0
8,0.03148,0.00820594,0.00968544,0.0228622,0.0907635,0.0158254,0.137657,0.019938,0.00507261,0.00236699,0.0199985,0.017701,0.00736592,0.0155333,0.00696769,0.0140554,0.0166087,0.0169782,0.0127661,0.00598294,0.0156629,0.0642315,0.0138989,0.100245,0.0285058,0.00531364,0.00790612,0.0129709,0.0257144,0.0157302,0.0108156,0.0128812,0.00389969,0.00475151,0.00972534,0.00328849,0.0168791,0.0410156,0,0,0
9,0.03148,0.00808259,0.00964007,0.0230522,0.090947,0.0156817,0.137798,0.0199746,0.00527395,0.00235268,0.0200342,0.0176466,0.00753982,0.014939,0.00709917,0.0138966,0.0166316,0.0169794,0.0127284,0.00600723,0.0157933,0.0642018,0.0143443,0.100467,0.0294567,0.0050172,0.00795007,0.0130087,0.0258074,0.0155673,0.0108412,0.0129099,0.00386128,0.00522765,0.00935007,0.00341393,0.0169336,0.0408763,0,0,0
10,0.0315014,0.00799238,0.00970261,0.0232142,0.091181,0.0156206,0.138027,0.0199951,0.0054034,0.00264397,0.0199393,0.0176233,0.00774155,0.0141094,0.00733775,0.013208,0.0167165,0.0169766,0.0127118,0.00601343,0.0159176,0.0642228,0.0147762,0.100794,0.0305333,0.00475719,0.00797054,0.0130366,0.0259748,0.0154451,0.0109869,0.0129159,0.00385208,0.0056466,0.00904825,0.00351081,0.0169518,0.0407473,0,0,0
11,0.0315518,0.00791445,0.00983298,0.0233075,0.0914472,0.0156011,0.138339,0.0199932,0.00549017,0.00305887,0.0197115,0.0176453,0.00793971,0.0131715,0.00735259,0.0121055,0.0167808,0.016947,0.0126895,0.00600408,0.0160306,0.0642423,0.0151771,0.101209,0.0316812,0.00454652,0.00800709,0.0130365,0.0262113,0.0153631,0.0112151,0.0129217,0.00385492,0.0060031,0.00886535,0.00359105,0.0169486,0.0406404,0,0,0
12,0.0316351,0.00786699,0.0099893,0.0233243,0.0917112,0.0156067,0.13872,0.0199505,0.00552295,0.00351247,0.0193855,0.0176422,0.00807777,0.0122326,0.0073186,0.0108066,0.016877,0.0169327,0.0126579,0.00598901,0.0161361,0.0643578,0.0155525,0.101727,0.0328698,0.00434397,0.00802417,0.0130212,0.0264547,0.015323,0.0112518,0.0129111,0.00386383,0.00631641,0.00858646,0.00366552,0.016926,0.0405446,0,0,0
13,0.0317257,0.00784997,0.0101559,0.023253,0.0920151,0.015635,0.139176,0.0198883,0.00552726,0.00404571,0.019065,0.0176292,0.00818111,0.0113514,0.00725125,0.0094505,0.0170282,0.0169639,0.0126515,0.00598012,0.0162567,0.0645359,0.0158913,0.102338,0.0341296,0.00416061,0.00801264,0.0130309,0.0266744,0.015331,0.0112093,0.0128882,0.00387177,0.00655141,0.00833782,0.00369956,0.0168717,0.0404623,0,0,0
14,0.0318084,0.00786681,0.0102698,0.0230969,0.0923566,0.0156954,0.139695,0.0198153,0.00555259,0.00459529,0.0187268,0.0176138,0.00828347,0.0104507,0.00705387,0.00813114,0.0172,0.0169879,0.0126588,0.00597874,0.0163841,0.0647792,0.0161952,0.102972,0.0354607,0.00402686,0.00797008,0.0130485,0.0269082,0.0153243,0.0111686,0.0128799,0.00387565,0.00674547,0.00834436,0.00369402,0.0168199,0.0403926,0,0,0
15,0.0319094,0.00789596,0.010342,0.0228907,0.092697,0.015747,0.140233,0.0197292,0.00559767,0.00513216,0.0183705,0.0176335,0.00834522,0.00960464,0.00678211,0.00693648,0.0173393,0.0169949,0.0126505,0.00598818,0.016505,0.0650853,0.0164534,0.103677,0.0367811,0.0039496,0.007907,0.0130589,0.0271095,0.0153119,0.0111372,0.0128486,0.00387739,0.0069234,0.0084625,0.00367342,0.016796,0.0403409,0,0,0
16,0.0320017,0.00791803,0.0103399,0.0226564,0.0930124,0.0157888,0.140779,0.0196389,0.0056162,0.00554763,0.0180085,0.0177224,0.00836174,0.00912284,0.00655494,0.00598931,0.0174458,0.0170047,0.0126145,0.00601962,0.0166567,0.0654808,0.0166396,0.104414,0.0380583,0.00386651,0.00784429,0.013052,0.0272869,0.0154637,0.0111087,0.0127545,0.0039137,0.00707624,0.00843414,0.00363689,0.0167943,0.0402998,0,0,0
17,0.0321151,0.00798618,0.0103024,0.0224192,0.0933236,0.0158243,0.141335,0.0195506,0.00561262,0.00575279,0.0176479,0.0178069,0.00834598,0.00876652,0.00639936,0.00554536,0.0175714,0.0170149,0.0125827,0.00605073,0.0168236,0.065829,0.016778,0.105168,0.039282,0.00380036,0.00776445,0.0130422,0.0273957,0.0156348,0.011089,0.0126868,0.00400549,0.0071911,0.0083892,0.00359202,0.0168052,0.0402892,0,0,0
18,0.0322378,0.00809502,0.0102942,0.0222399,0.0936145,0.0158663,0.14189,0.0194587,0.00562565,0.00570387,0.0173013,0.0178787,0.00834083,0.00847669,0.00610059,0.00541441,0.0176792,0.0170203,0.0125651,0.00608443,0.0169734,0.0661893,0.0168967,0.105904,0.0404753,0.00376004,0.00769182,0.0130355,0.0274856,0.0157826,0.0110784,0.0126461,0.00401022,0.00728889,0.00827255,0.00354295,0.0168322,0.0403028,0,0,0
19,0.0323349,0.00822169,0.0101334,0.0221338,0.093873,0.0159178,0.142416,0.0193959,0.00567297,0.00533959,0.016955,0.0179667,0.00832533,0.00836903,0.005827,0.00559003,0.017755,0.0170214,0.0125508,0.00611999,0.0170853,0.0665592,0.0169885,0.106599,0.0416636,0.00375247,0.00766728,0.012994,0.0275408,0.0159467,0.0110622,0.0126441,0.0039578,0.00738363,0.0082111,0.00350788,0.0169068,0.0403481,0,0,0
20,0.0324108,0.00837232,0.00990216,0.0220465,0.0941052,0.0159726,0.14289,0.0193803,0.0057094,0.00462258,0.0166741,0.0180569,0.00829875,0.00838448,0.00557814,0.00631783,0.0178652,0.0170139,0.0125265,0.00615034,0.0171526,0.0669455,0.0170666,0.107278,0.0428292,0.00367574,0.00766522,0.0129179,0.0275431,0.0161269,0.0110558,0.0126649,0.00390848,0.00746888,0.00818167,0.00352593,0.0170345,0.0404322,0,0,0
21,0.0324531,0.00856804,0.00963417,0.0219903,0.0943059,0.0160283,0.14331,0.0194033,0.00572485,0.00369466,0.0164244,0.0181371,0.00833148,0.00834284,0.00543055,0.00778479,0.0180044,0.0170037,0.0125082,0.00617717,0.0171936,0.0673121,0.0171601,0.107915,0.0439852,0.00346679,0.00754076,0.0128565,0.0275385,0.0163339,0.0110421,0.0126038,0.0038739,0.00757434,0.00818814,0.00355848,0.0172146,0.0405711,0,0,0
22,0.032459,0.00878479,0.00944864,0.0220001,0.0944217,0.0161006,0.14365,0.0194544,0.00574226,0.00302128,0.0162052,0.0181777,0.00840158,0.00823719,0.0052518,0.00927054,0.0180659,0.0169834,0.0125114,0.00619179,0.0172047,0.0675772,0.0172781,0.108465,0.0451774,0.00332196,0.00745039,0.012788,0.0275191,0.0165317,0.0109862,0.0125803,0.00385346,0.00772919,0.00814182,0.00363525,0.0174548,0.0407734,0,0,0
23,0.0324296,0.00902211,0.00953707,0.0220811,0.0944465,0.0161691,0.143882,0.0195183,0.0057422,0.00298788,0.0160678,0.0182179,0.00842592,0.00816901,0.00495849,0.00926264,0.0181865,0.0169686,0.0125723,0.00619564,0.0171771,0.0677388,0.0174118,0.108904,0.046422,0.00323683,0.00742902,0.0125993,0.0275171,0.0167163,0.0109322,0.0124161,0.00384671,0.0079293,0.0079942,0.00374159,0.0177678,0.0410337,0,0,0
24,0.0323706,0.0092978,0.00976659,0.0222473,0.094405,0.0162429,0.144008,0.019597,0.00572892,0.00344097,0.0160198,0.0182033,0.00841161,0.00812982,0.00450517,0.00834995,0.0183339,0.0169202,0.012725,0.00618632,0.0171278,0.0678545,0.0175468,0.109229,0.0476723,0.00316905,0.00739065,0.0124218,0.0275145,0.0169079,0.0108873,0.0121547,0.00385281,0.00815456,0.00779394,0.00388865,0.0181384,0.0413296,0,0,0
25,0.032251,0.0096212,0.00981981,0.0224903,0.0942859,0.0163072,0.144024,0.019692,0.00570756,0.00398677,0.016024,0.0181762,0.00840364,0.00808085,0.0041479,0.00755003,0.018363,0.0168901,0.0126789,0.00618445,0.0170401,0.067913,0.0176782,0.109439,0.0487308,0.00307586,0.00730822,0.0122314,0.0275138,0.0171086,0.0108017,0.0122032,0.00386705,0.00837875,0.0077004,0.00403892,0.0185889,0.0416472,0,0,0
26,0.0320925,0.00994084,0.00996973,0.0227672,0.0941101,0.0163604,0.14391,0.0197847,0.00569184,0.00452271,0.0160283,0.01815,0.00847096,0.00799719,0.00395488,0.00691156,0.0183765,0.0168811,0.0127902,0.00628304,0.0169202,0.067884,0.0177985,0.109513,0.0493973,0.00298461,0.0072375,0.0120278,0.0275249,0.0173209,0.010724,0.0122499,0.00389113,0.00858892,0.00748375,0.00401501,0.0190668,0.0420063,0,0,0
27,0.0319255,0.01026,0.0100736,0.0230242,0.0938743,0.0163944,0.143655,0.0198619,0.00565716,0.004707,0.0160235,0.0181207,0.0085442,0.0078951,0.00408156,0.00659536,0.0183975,0.0168351,0.0128948,0.00649462,0.0167505,0.0678015,0.0178876,0.109445,0.0496814,0.00295439,0.00718457,0.0118198,0.0275831,0.0175532,0.0106754,0.0121366,0.00392949,0.00879554,0.00732888,0.00396486,0.0195698,0.0424331,0,0,0
28,0.031728,0.010596,0.0099275,0.0232717,0.0935267,0.016418,0.143279,0.0199103,0.00564195,0.00433958,0.0159859,0.0180778,0.00864083,0.0077902,0.00450993,0.00669385,0.0184076,0.0168463,0.0129857,0.00660873,0.0165338,0.0676574,0.0179317,0.109252,0.0497572,0.00297642,0.00720152,0.0115787,0.027672,0.0177338,0.010633,0.0119193,0.00398224,0.00900959,0.00711613,0.00389868,0.0201219,0.0428854,0,0,0
29,0.0314968,0.0109429,0.00962094,0.023522,0.0930733,0.016428,0.14279,0.019959,0.00565034,0.00370554,0.0159438,0.0180503,0.00876419,0.00774491,0.00485918,0.0069533,0.018412,0.0168512,0.0131588,0.00663557,0.016288,0.0673853,0.0179267,0.108942,0.0497654,0.00302833,0.00736559,0.0113487,0.0277758,0.0179302,0.0106034,0.0118245,0.00403969,0.00924101,0.00686988,0.00380125,0.0206989,0.0433497,0,0,0
30,0.0312119,0.0112936,0.00957362,0.0237552,0.0925548,0.0164253,0.142186,0.0200098,0.00567727,0.00329836,0.0159358,0.018027,0.00886949,0.0077334,0.00526217,0.00709769,0.0184786,0.0168477,0.0132553,0.00659439,0.0160136,0.0669515,0.017899,0.108532,0.0497886,0.0031143,0.00705258,0.0111298,0.0279143,0.0181816,0.010601,0.0118129,0.00409102,0.00944777,0.00675292,0.00374414,0.0212982,0.0438667,0,0,0
31,0.0309038,0.0116849,0.00950734,0.0239667,0.0919882,0.0164007,0.141486,0.0200443,0.00564212,0.00317006,0.0159154,0.0179706,0.00896059,0.0077624,0.00565578,0.00723332,0.0185921,0.0168234,0.0132359,0.00647772,0.0157179,0.066496,0.0178509,0.108026,0.0498269,0.00317723,0.00688567,0.0109473,0.0280492,0.0183831,0.0105858,0.0117838,0.00411705,0.00961943,0.00658195,0.00372905,0.0219086,0.0444347,0,0,0
32,0.0305781,0.0120732,0.00925218,0.0241453,0.0913833,0.0163595,0.140725,0.0200752,0.00552526,0.00312929,0.0158935,0.0179337,0.00913755,0.00782271,0.00586043,0.0074685,0.0186518,0.0167892,0.0130818,0.00646191,0.0154167,0.0660533,0.0177967,0.107415,0.0498937,0.0031888,0.00681559,0.0107483,0.0282032,0.0184972,0.0105682,0.0116925,0.00414047,0.00975577,0.00647122,0.00373949,0.0225239,0.0450128,0,0,0
33,0.0302352,0.0124146,0.00888957,0.0243132,0.0907021,0.0163052,0.139915,0.0200308,0.00558342,0.00314451,0.0159127,0.0178915,0.00931395,0.00797549,0.0061022,0.00770509,0.0187017,0.0167728,0.0129941,0.00651067,0.0150846,0.0656005,0.0177428,0.106739,0.0500896,0.00314954,0.00674126,0.010487,0.0283352,0.0185558,0.0106155,0.0114757,0.00416887,0.00984705,0.00648695,0.00376533,0.0231426,0.0456069,0,0,0
34,0.029853,0.0127061,0.00841215,0.0245138,0.0900093,0.0162561,0.139052,0.019963,0.00574017,0.00326471,0.015999,0.0178527,0.00942204,0.00824643,0.00629595,0.00790687,0.0187653,0.016765,0.0129974,0.00657297,0.0147154,0.0650564,0.0176698,0.106012,0.0505077,0.00310163,0.00664937,0.0103049,0.0284324,0.0185509,0.0107407,0.0113582,0.00418422,0.00986736,0.0065632,0.00380799,0.0237452,0.0462127,0,0,0
35,0.0294778,0.0129883,0.00802696,0.0247282,0.0892993,0.0162095,0.138151,0.0199902,0.00571096,0.00363211,0.016103,0.0177916,0.00957939,0.00864889,0.00646287,0.00808919,0.0188499,0.0167817,0.0130652,0.00664719,0.0143097,0.0644915,0.0174751,0.105238,0.0511461,0.00302551,0.00651842,0.0101854,0.0285962,0.0185573,0.0108467,0.0112584,0.00417586,0.00985024,0.00661633,0.00384767,0.0242769,0.0468341,0,0,0
36,0.0291638,0.0132996,0.00770619,0.0249444,0.0886197,0.0161683,0.137224,0.0200688,0.00572827,0.00422028,0.0161118,0.0177174,0.00974627,0.00919517,0.00671362,0.00827289,0.0189331,0.0167954,0.0130419,0.0067189,0.0138748,0.063895,0.0171628,0.104465,0.0518169,0.00293653,0.0063949,0.0100147,0.0287328,0.0185138,0.0108853,0.0110385,0.00414813,0.00978631,0.00667538,0.00388998,0.0247544,0.0474069,0,0,0
37,0.0289254,0.0136276,0.00732807,0.0251296,0.0879344,0.0161189,0.136305,0.0200764,0.00580075,0.00490549,0.0160228,0.0176286,0.00983411,0.00959779,0.00717974,0.00844844,0.0190107,0.0167182,0.0130787,0.00680173,0.0134212,0.0633088,0.0170342,0.103735,0.0524571,0.00285586,0.00628072,0.00982229,0.0288188,0.0184453,0.0108277,0.0108251,0.00411041,0.00970366,0.00669866,0.00396699,0.0251771,0.0478995,0,0,0
38,0.0285872,0.0139515,0.00702401,0.0252814,0.0872318,0.0160594,0.135396,0.0200191,0.00588958,0.00559555,0.0158955,0.0175819,0.0100786,0.00988099,0.00778616,0.00862328,0.0190733,0.0166459,0.0130633,0.00689717,0.0129616,0.0627731,0.0173568,0.103029,0.0531309,0.00280291,0.00614627,0.00962716,0.0288434,0.0183631,0.0108268,0.0106753,0.00406024,0.00963951,0.00672802,0.00404435,0.0255164,0.0483974,0,0,0
39,0.0282912,0.0142545,0.00683742,0.0254172,0.0865343,0.0160012,0.134485,0.01996,0.00595626,0.00622925,0.015777,0.0175665,0.0103576,0.0100849,0.00830278,0.00881776,0.0191157,0.0166491,0.0130271,0.00690545,0.0125013,0.06231,0.0175068,0.102341,0.05379,0.00275662,0.00600242,0.00944244,0.0288081,0.0182596,0.010875,0.0104835,0.00400773,0.00962248,0.00677437,0.00408358,0.0257459,0.0489079,0,0,0
40,0.0280624,0.0145842,0.00672759,0.0254857,0.0858387,0.0159334,0.133586,0.0199141,0.00604924,0.00682457,0.0156691,0.0175086,0.0104925,0.0102062,0.00847635,0.00901699,0.0191005,0.0167523,0.0129871,0.00693655,0.0120629,0.0619011,0.0174811,0.101689,0.0544467,0.00275537,0.00588892,0.0092881,0.0287476,0.0181646,0.0108902,0.0102787,0.00394437,0.00960963,0.00681018,0.00408728,0.0259363,0.0493325,0,0,0
41,0.027857,0.0149375,0.00658125,0.0255001,0.085134,0.0158596,0.13271,0.0198914,0.00616238,0.00736479,0.0155298,0.017461,0.0104747,0.0101931,0.00839311,0.00920268,0.0191183,0.0167351,0.0129708,0.00704326,0.0116588,0.0615496,0.0174649,0.101068,0.0551074,0.00276502,0.00577149,0.00915369,0.0286418,0.0180696,0.0108659,0.0100275,0.00386043,0.00960825,0.00680938,0.00407383,0.0261289,0.0494966,0,0,0
42,0.0277193,0.0152745,0.00645336,0.025495,0.0843945,0.0157595,0.131858,0.0198902,0.00629457,0.00783293,0.0153358,0.0174247,0.0105695,0.0100017,0.00821276,0.00936415,0.0191641,0.016615,0.0129529,0.00708989,0.0112579,0.06123,0.0175266,0.100477,0.0556857,0.00282273,0.00569413,0.00899237,0.0285343,0.0179862,0.010803,0.00975906,0.00375876,0.0096857,0.00678235,0.00404161,0.0262777,0.0496017,0,0,0
43,0.0276581,0.0155997,0.00633835,0.0254519,0.0836631,0.0156546,0.131007,0.0198884,0.00642714,0.00825212,0.015118,0.017424,0.0107211,0.00961917,0.00795242,0.0095202,0.0191974,0.0165673,0.0129289,0.00715266,0.0108661,0.0609251,0.017598,0.0999044,0.056197,0.00290237,0.00568408,0.00888399,0.0284278,0.0179149,0.0107258,0.00951466,0.00365175,0.00975679,0.00679605,0.00398306,0.0263611,0.0499882,0,0,0
44,0.027502,0.0159499,0.00622451,0.0254147,0.0829276,0.0156085,0.130152,0.0198427,0.00656542,0.00859873,0.0149229,0.0174391,0.0108512,0.00908329,0.00764777,0.00968488,0.0192304,0.0165889,0.0128674,0.00721734,0.0105201,0.0606055,0.0176409,0.0993396,0.0566217,0.00292577,0.00575481,0.00887901,0.0282961,0.0178506,0.0106661,0.00929948,0.0035358,0.00976873,0.00685612,0.00390441,0.0263978,0.0506482,0,0,0
45,0.0272432,0.0163016,0.00613368,0.0254257,0.0821561,0.0156045,0.129288,0.019767,0.00672144,0.00890487,0.0147866,0.0173829,0.0108338,0.00843915,0.00737476,0.00984122,0.0192411,0.0166469,0.0127973,0.00726669,0.0102252,0.0603059,0.0176246,0.0987694,0.0569791,0.00292031,0.00569642,0.00883992,0.028197,0.0177994,0.0106025,0.00908785,0.00340792,0.00973163,0.00700469,0.0038462,0.0263628,0.050982,0,0,0
46,0.0270027,0.016655,0.0060944,0.0254079,0.0813776,0.0155172,0.128402,0.0197143,0.00690402,0.00917614,0.0146885,0.0173,0.0108133,0.00765329,0.00712022,0.00998138,0.0192311,0.0167538,0.0127886,0.0072842,0.00998358,0.0600401,0.0176167,0.0981885,0.0572551,0.00305719,0.00555658,0.0087689,0.028133,0.0177601,0.0105419,0.00888452,0.00330187,0.00977314,0.0071148,0.00379568,0.0262925,0.0512858,0,0,0
47,0.026993,0.0169932,0.00603914,0.0254372,0.0805801,0.0153565,0.127507,0.0195732,0.00707287,0.00943279,0.0146101,0.0171959,0.0108023,0.00685545,0.00692238,0.0101013,0.019176,0.0169067,0.0128151,0.00728375,0.00981178,0.0597774,0.0176358,0.0975789,0.0572033,0.00322492,0.00540774,0.00867224,0.0281201,0.017717,0.0104988,0.00863626,0.00320434,0.00975838,0.00716757,0.00375389,0.0262382,0.0517017,0,0,0
48,0.0269922,0.0173184,0.00601113,0.025564,0.0797291,0.0151692,0.126575,0.0192526,0.00720306,0.00977994,0.014571,0.0170504,0.0108063,0.00619657,0.0068343,0.0101929,0.0190801,0.0168469,0.0128087,0.00731779,0.00969045,0.0594083,0.0176904,0.0969172,0.0567315,0.00339972,0.00527984,0.00852815,0.0281481,0.0176902,0.0104432,0.00841593,0.00311064,0.00965653,0.00726822,0.00372057,0.0262651,0.0522363,0,0,0
49,0.0268441,0.0176433,0.00600456,0.0257212,0.0788386,0.0149618,0.125586,0.0189844,0.00732628,0.0102816,0.0145684,0.0167944,0.0107965,0.00557339,0.00689015,0.0103065,0.0189875,0.0167847,0.0128234,0.00743709,0.00961233,0.0589932,0.0177149,0.0961931,0.0558732,0.00350541,0.00518376,0.00863607,0.0282013,0.0176847,0.0103179,0.00814226,0.00302796,0.00962541,0.00736499,0.00367678,0.0264047,0.05279,0,0,0
50,0.0266359,0.017928,0.00607679,0.0258739,0.0779394,0.0147484,0.124528,0.0187656,0.00739554,0.0105864,0.0145881,0.016541,0.0107661,0.00503223,0.00700862,0.0104663,0.0188971,0.0167564,0.0128543,0.00745024,0.00956352,0.0585214,0.0176862,0.0953818,0.0546493,0.00356787,0.00509527,0.00875307,0.0282926,0.0176864,0.0101323,0.00789326,0.00296105,0.00968785,0.00740656,0.00364453,0.0266423,0.0531654,0,0,0
51,0.0264905,0.0181654,0.00618081,0.0260415,0.0770033,0.0146322,0.123402,0.0185616,0.00745223,0.010658,0.0146254,0.0163292,0.0107372,0.00467136,0.00700618,0.0105656,0.018691,0.0167802,0.012892,0.00730604,0.0095033,0.0579956,0.0176117,0.0945086,0.0531554,0.00357721,0.00500869,0.00877911,0.0284165,0.0176904,0.00989704,0.00761209,0.0029116,0.00992608,0.00730694,0.00367786,0.0269566,0.0534303,0,0,0
52,0.0263306,0.018347,0.00624314,0.0262422,0.0760433,0.014501,0.122199,0.0183339,0.00751025,0.010548,0.0146788,0.016083,0.010699,0.00447028,0.00705124,0.0106078,0.0184098,0.0168135,0.0129155,0.00695919,0.00944389,0.0574129,0.017502,0.0935679,0.051543,0.00351735,0.00493645,0.00872403,0.0285594,0.0176866,0.00965314,0.00728018,0.00286669,0.0100744,0.0072108,0.00382811,0.0272952,0.0536387,0,0,0
53,0.0261566,0.0184952,0.00614144,0.0264615,0.0750505,0.0143372,0.120925,0.0180843,0.0075578,0.0106397,0.0147351,0.0158036,0.0106618,0.00435004,0.00709268,0.0106614,0.0181337,0.0168364,0.0129421,0.00660624,0.00939844,0.0567611,0.017476,0.0925398,0.0498985,0.0033881,0.00485252,0.00851464,0.0286878,0.0176819,0.00941844,0.00693698,0.00280269,0.0100752,0.00714386,0.00406018,0.0276493,0.0538268,0,0,0
54,0.0259849,0.0185878,0.00584809,0.0266531,0.0740232,0.0141896,0.119613,0.0178567,0.00757304,0.0108883,0.0147815,0.0155449,0.0106071,0.00428206,0.00710079,0.010731,0.0178685,0.016827,0.0129437,0.00629594,0.00948135,0.0561142,0.0175769,0.0914937,0.0483033,0.00319408,0.00476476,0.00825569,0.0287827,0.0176712,0.00918051,0.00659643,0.00274007,0.0100611,0.00713349,0.00427104,0.0280451,0.0540259,0,0,0
55,0.0257961,0.018637,0.00581565,0.0268297,0.0730152,0.0140829,0.118309,0.0176377,0.00756839,0.0111609,0.0147771,0.0153201,0.0105185,0.00423522,0.00715545,0.0108164,0.0175858,0.0168322,0.012934,0.00600545,0.00974712,0.0554886,0.0174921,0.0904516,0.0468525,0.00300091,0.00467669,0.00798197,0.0288765,0.0176727,0.00893241,0.00627848,0.0027185,0.0101412,0.00706179,0.00439456,0.0284728,0.0542179,0,0,0
56,0.0256163,0.0186613,0.00605474,0.0269785,0.072006,0.013984,0.117012,0.0174206,0.00753901,0.0114211,0.0147087,0.0151135,0.0104085,0.00421112,0.00721725,0.0109107,0.0172883,0.0168667,0.0129151,0.00577248,0.00982931,0.0548913,0.0172318,0.0894399,0.0457038,0.00285361,0.00460264,0.00788469,0.0289731,0.0176351,0.00867173,0.005985,0.00270409,0.0101624,0.00703629,0.0044176,0.0286088,0.0543709,0,0,0
57,0.0254603,0.0186483,0.00610078,0.0271315,0.0709964,0.0139015,0.115729,0.0172066,0.0074976,0.0116837,0.0146104,0.0148338,0.0103063,0.00419399,0.00707743,0.0110028,0.0169569,0.0168041,0.0129063,0.00559353,0.0097822,0.0543268,0.0169698,0.0884729,0.0449469,0.00275034,0.004547,0.00764453,0.0290464,0.0175675,0.00838302,0.00571276,0.00269861,0.0101217,0.00696314,0.00439121,0.028561,0.0544668,0,0,0
