Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,x39,x40,RASI
216,0.045623,0.0355815,0.00555699,0.0578658,0.0532504,0.0166618,0.0829004,0.0226913,0.0098174,0.00312582,0.0239623,0.0308459,0.0131579,0.0152056,0.0125947,0.0136516,0.0137201,0.0212839,0.0170228,0.0110143,0.0716498,0.0397782,0.0776276,0.0745768,0.039292,0.0520126,0.016493,0.0141765,0.0360988,0.0509169,0.0184295,0.0124415,0.0140589,0.0589673,0.0119536,0.0140454,0.0487875,0.0581401,0,0,0.053099
217,0.044899,0.0347528,0.00498969,0.0579387,0.0523968,0.0169039,0.0824349,0.0219381,0.00979227,0.00330293,0.0235385,0.0313202,0.0141557,0.0160758,0.011972,0.0143795,0.0137325,0.0210894,0.0170615,0.0112201,0.0717398,0.0395865,0.0760722,0.0745682,0.0368834,0.0508162,0.0161639,0.0137476,0.0354624,0.0506064,0.0192242,0.0117006,0.0141377,0.0581646,0.0125785,0.0127466,0.0493034,0.0590553,0,0,0.0529124
218,0.0445495,0.0335818,0.00446052,0.0579426,0.0512413,0.0171315,0.0816799,0.0211005,0.00975609,0.00362901,0.0231683,0.0316082,0.0151865,0.0168375,0.0113697,0.0149833,0.0137768,0.0209288,0.0170153,0.0112766,0.071547,0.0393439,0.0741805,0.0743278,0.0342974,0.0493465,0.0159052,0.0135547,0.0348353,0.049906,0.0201497,0.0111213,0.0142394,0.0567997,0.0126815,0.0118092,0.049358,0.0598689,0,0,0.0527274
219,0.0444228,0.0320812,0.00393671,0.0577824,0.0498152,0.0173954,0.0806837,0.0202895,0.00967297,0.0040605,0.0228691,0.0316418,0.016144,0.0175808,0.0108851,0.0154735,0.0138475,0.0207563,0.0168337,0.0112166,0.0711552,0.0390515,0.071814,0.0739066,0.0317292,0.0477701,0.015632,0.0136021,0.0341686,0.0490064,0.0211358,0.0106777,0.0140246,0.054877,0.0126346,0.0113115,0.0488973,0.0603125,0,0,0.0526096
220,0.0441434,0.030332,0.00345902,0.057441,0.0481861,0.0176007,0.0795106,0.0195169,0.00951174,0.00456946,0.0226023,0.0314196,0.0169765,0.0182242,0.0105129,0.0158797,0.013967,0.0206282,0.0165881,0.0111041,0.0705325,0.038694,0.0689608,0.0734088,0.0293211,0.0460665,0.0153608,0.0137974,0.0334398,0.0480076,0.0220806,0.0103162,0.0137927,0.0525328,0.0122523,0.0112599,0.0480142,0.0602971,0,0,0.0525931
221,0.0433897,0.0283092,0.0030349,0.0569335,0.0463759,0.0176921,0.0781954,0.0187317,0.00924627,0.00512735,0.0222615,0.0309861,0.0177013,0.0188407,0.01005,0.0162194,0.0141436,0.0205777,0.0163139,0.0109343,0.0697403,0.0384104,0.0657012,0.0728544,0.0271472,0.0439977,0.0150291,0.0140892,0.0326768,0.0469008,0.0228906,0.0101042,0.0136924,0.0500197,0.0115843,0.0115456,0.0466501,0.0598895,0,0,0.0526764
222,0.042083,0.0261277,0.00266366,0.0562595,0.0443795,0.0175996,0.076725,0.0178891,0.00889245,0.00572738,0.0218131,0.0303782,0.0183626,0.019256,0.00946546,0.0165017,0.0143812,0.020719,0.0159386,0.0106851,0.0688776,0.0381368,0.0621706,0.07217,0.0252494,0.0416859,0.0146007,0.0145158,0.0318726,0.0456674,0.0234798,0.0100706,0.0138143,0.0473162,0.0107667,0.0121034,0.0449013,0.0592456,0,0,0.05284
223,0.040651,0.0240766,0.00234477,0.0554507,0.0422339,0.01735,0.0751842,0.0169799,0.00850095,0.00635474,0.0212849,0.0296949,0.0189701,0.019398,0.00884333,0.0167405,0.0146658,0.0210173,0.0154434,0.0104626,0.0678906,0.0378998,0.0584443,0.0713998,0.0236445,0.0391995,0.014072,0.0150156,0.0310127,0.0443474,0.02382,0.0100026,0.0142134,0.0444469,0.00986859,0.0127638,0.0429133,0.0585976,0,0,0.0530451
224,0.0393413,0.0223828,0.00208867,0.0545537,0.0399788,0.017066,0.0736595,0.0160207,0.00808242,0.00699734,0.0206608,0.0289716,0.0195486,0.0193676,0.00820508,0.0169692,0.0149939,0.0211059,0.0148464,0.0103876,0.0663131,0.0377684,0.0544871,0.0706233,0.0222858,0.0365642,0.0135239,0.0155843,0.0301004,0.0430413,0.0239798,0.00982348,0.0148831,0.0414254,0.00896864,0.0131455,0.0408087,0.058089,0,0,0.0532429
225,0.0379876,0.0210784,0.00189733,0.053618,0.0376839,0.0167517,0.072206,0.0150539,0.0076408,0.00760977,0.0199429,0.0282482,0.0201616,0.0192069,0.0075918,0.0172052,0.0153632,0.020483,0.0141997,0.0103903,0.0646226,0.0378073,0.0502095,0.0699134,0.021099,0.0338087,0.0129877,0.0161854,0.0291395,0.0417485,0.0240426,0.00964576,0.0157756,0.0383022,0.00824284,0.0132271,0.0385697,0.057724,0,0,0.0533907
